"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Autauga County, AL"	"01001"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	12	55267	Unreliable	Unreliable	14.5	48.9
	"Autauga County, AL"	"01001"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	13	55514	Unreliable	Unreliable	12.6	40.4
	"Autauga County, AL"	"01001"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	20	55246	36.2	35.8	21.6	55.9
	"Autauga County, AL"	"01001"	"#Septicemia (A40-A41)"	"GR113-010"	"2018"	"2018"	11	55601	Unreliable	Unreliable	8.3	29.8
	"Autauga County, AL"	"01001"	"#Septicemia (A40-A41)"	"GR113-010"	"2019"	"2019"	14	55869	Unreliable	Unreliable	11.4	36.5
	"Baldwin County, AL"	"01003"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2010"	"2010"	11	182265	Unreliable	Unreliable	2.4	8.8
	"Baldwin County, AL"	"01003"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2017"	"2017"	10	212628	Unreliable	Unreliable	1.5	6.2
	"Baldwin County, AL"	"01003"	"#Septicemia (A40-A41)"	"GR113-010"	"2010"	"2010"	12	182265	Unreliable	Unreliable	2.7	9.3
	"Baldwin County, AL"	"01003"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	30	186717	16.1	13.5	9.1	19.4
	"Baldwin County, AL"	"01003"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	27	190790	14.2	11.4	7.5	16.8
	"Baldwin County, AL"	"01003"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	24	195540	12.3	9.8	6.2	14.6
	"Baldwin County, AL"	"01003"	"#Septicemia (A40-A41)"	"GR113-010"	"2014"	"2014"	26	200111	13.0	9.5	6.1	14.0
	"Baldwin County, AL"	"01003"	"#Septicemia (A40-A41)"	"GR113-010"	"2015"	"2015"	21	203709	10.3	7.6	4.6	11.7
	"Baldwin County, AL"	"01003"	"#Septicemia (A40-A41)"	"GR113-010"	"2016"	"2016"	26	208563	12.5	8.7	5.7	12.9
	"Baldwin County, AL"	"01003"	"#Septicemia (A40-A41)"	"GR113-010"	"2017"	"2017"	40	212628	18.8	13.9	9.8	19.1
	"Baldwin County, AL"	"01003"	"#Septicemia (A40-A41)"	"GR113-010"	"2018"	"2018"	32	218022	14.7	9.7	6.6	13.9
	"Baldwin County, AL"	"01003"	"#Septicemia (A40-A41)"	"GR113-010"	"2019"	"2019"	21	223234	9.4	6.7	4.1	10.5
	"Blount County, AL"	"01009"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	12	57677	Unreliable	Unreliable	9.5	32.2
	"Blount County, AL"	"01009"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	10	57826	Unreliable	Unreliable	6.6	25.3
	"Blount County, AL"	"01009"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	13	57872	Unreliable	Unreliable	10.6	34.1
	"Blount County, AL"	"01009"	"#Septicemia (A40-A41)"	"GR113-010"	"2014"	"2014"	23	57719	39.8	33.6	21.0	50.9
	"Blount County, AL"	"01009"	"#Septicemia (A40-A41)"	"GR113-010"	"2015"	"2015"	10	57673	Unreliable	Unreliable	6.5	25.1
	"Blount County, AL"	"01009"	"#Septicemia (A40-A41)"	"GR113-010"	"2016"	"2016"	10	57704	Unreliable	Unreliable	6.3	24.1
	"Blount County, AL"	"01009"	"#Septicemia (A40-A41)"	"GR113-010"	"2017"	"2017"	12	58013	Unreliable	Unreliable	7.5	26.9
	"Blount County, AL"	"01009"	"#Septicemia (A40-A41)"	"GR113-010"	"2018"	"2018"	15	57840	Unreliable	Unreliable	10.1	29.7
	"Blount County, AL"	"01009"	"#Septicemia (A40-A41)"	"GR113-010"	"2019"	"2019"	15	57826	Unreliable	Unreliable	10.8	33.1
	"Calhoun County, AL"	"01015"	"#Septicemia (A40-A41)"	"GR113-010"	"2010"	"2010"	50	118572	42.2	38.5	28.5	50.8
	"Calhoun County, AL"	"01015"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	36	117797	30.6	28.1	19.6	39.1
	"Calhoun County, AL"	"01015"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	46	117296	39.2	33.3	24.3	44.6
	"Calhoun County, AL"	"01015"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	39	116736	33.4	28.1	19.9	38.5
	"Calhoun County, AL"	"01015"	"#Septicemia (A40-A41)"	"GR113-010"	"2014"	"2014"	40	115916	34.5	27.6	19.6	37.7
	"Calhoun County, AL"	"01015"	"#Septicemia (A40-A41)"	"GR113-010"	"2015"	"2015"	32	115620	27.7	23.0	15.6	32.6
	"Calhoun County, AL"	"01015"	"#Septicemia (A40-A41)"	"GR113-010"	"2016"	"2016"	31	114611	27.0	21.7	14.5	31.1
	"Calhoun County, AL"	"01015"	"#Septicemia (A40-A41)"	"GR113-010"	"2017"	"2017"	42	114728	36.6	30.9	21.9	42.2
	"Calhoun County, AL"	"01015"	"#Septicemia (A40-A41)"	"GR113-010"	"2018"	"2018"	34	114277	29.8	23.6	16.2	33.1
	"Calhoun County, AL"	"01015"	"#Septicemia (A40-A41)"	"GR113-010"	"2019"	"2019"	35	113605	30.8	24.0	16.5	33.7
	"Chambers County, AL"	"01017"	"#Septicemia (A40-A41)"	"GR113-010"	"2010"	"2010"	12	34215	Unreliable	Unreliable	13.5	45.7
	"Chambers County, AL"	"01017"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	10	34162	Unreliable	Unreliable	9.3	35.6
	"Chambers County, AL"	"01017"	"#Septicemia (A40-A41)"	"GR113-010"	"2015"	"2015"	10	34123	Unreliable	Unreliable	10.6	40.5
	"Chambers County, AL"	"01017"	"#Septicemia (A40-A41)"	"GR113-010"	"2016"	"2016"	12	33843	Unreliable	Unreliable	13.0	46.5
	"Chambers County, AL"	"01017"	"#Septicemia (A40-A41)"	"GR113-010"	"2017"	"2017"	10	33713	Unreliable	Unreliable	10.1	38.7
	"Chilton County, AL"	"01021"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	10	43895	Unreliable	Unreliable	10.6	40.6
	"Chilton County, AL"	"01021"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	16	43951	Unreliable	Unreliable	17.6	52.0
	"Chilton County, AL"	"01021"	"#Septicemia (A40-A41)"	"GR113-010"	"2014"	"2014"	11	43931	Unreliable	Unreliable	11.1	39.8
	"Chilton County, AL"	"01021"	"#Septicemia (A40-A41)"	"GR113-010"	"2015"	"2015"	10	43943	Unreliable	Unreliable	9.1	34.9
	"Chilton County, AL"	"01021"	"#Septicemia (A40-A41)"	"GR113-010"	"2016"	"2016"	14	43941	Unreliable	Unreliable	13.6	43.6
	"Cleburne County, AL"	"01029"	"#Septicemia (A40-A41)"	"GR113-010"	"2010"	"2010"	10	14972	Unreliable	Unreliable	27.0	103.5
	"Coffee County, AL"	"01031"	"#Septicemia (A40-A41)"	"GR113-010"	"2010"	"2010"	10	49948	Unreliable	Unreliable	9.1	35.0
	"Coffee County, AL"	"01031"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	11	50526	Unreliable	Unreliable	9.6	34.4
	"Coffee County, AL"	"01031"	"#Septicemia (A40-A41)"	"GR113-010"	"2019"	"2019"	10	52342	Unreliable	Unreliable	7.4	28.5
	"Colbert County, AL"	"01033"	"#Septicemia (A40-A41)"	"GR113-010"	"2010"	"2010"	10	54428	Unreliable	Unreliable	6.9	26.5
	"Colbert County, AL"	"01033"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	13	54512	Unreliable	Unreliable	9.4	31.7
	"Colbert County, AL"	"01033"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	11	54446	Unreliable	Unreliable	7.7	27.7
	"Colbert County, AL"	"01033"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	10	54520	Unreliable	Unreliable	5.8	22.3
	"Colbert County, AL"	"01033"	"#Septicemia (A40-A41)"	"GR113-010"	"2015"	"2015"	19	54354	Unreliable	Unreliable	15.1	39.1
	"Colbert County, AL"	"01033"	"#Septicemia (A40-A41)"	"GR113-010"	"2016"	"2016"	14	54216	Unreliable	Unreliable	10.0	32.1
	"Colbert County, AL"	"01033"	"#Septicemia (A40-A41)"	"GR113-010"	"2017"	"2017"	14	54500	Unreliable	Unreliable	9.7	31.1
	"Colbert County, AL"	"01033"	"#Septicemia (A40-A41)"	"GR113-010"	"2019"	"2019"	10	55241	Unreliable	Unreliable	5.4	20.7
	"Covington County, AL"	"01039"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	14	37955	Unreliable	Unreliable	14.2	45.5
	"Covington County, AL"	"01039"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	15	37886	Unreliable	Unreliable	15.7	48.2
	"Covington County, AL"	"01039"	"#Septicemia (A40-A41)"	"GR113-010"	"2014"	"2014"	15	37914	Unreliable	Unreliable	14.4	42.5
	"Covington County, AL"	"01039"	"#Septicemia (A40-A41)"	"GR113-010"	"2015"	"2015"	16	37835	Unreliable	Unreliable	17.7	54.4
	"Covington County, AL"	"01039"	"#Septicemia (A40-A41)"	"GR113-010"	"2016"	"2016"	18	37458	Unreliable	Unreliable	19.9	54.7
	"Covington County, AL"	"01039"	"#Septicemia (A40-A41)"	"GR113-010"	"2017"	"2017"	19	37092	Unreliable	Unreliable	19.4	51.8
	"Covington County, AL"	"01039"	"#Septicemia (A40-A41)"	"GR113-010"	"2018"	"2018"	21	36986	56.8	34.2	21.1	52.2
	"Covington County, AL"	"01039"	"#Septicemia (A40-A41)"	"GR113-010"	"2019"	"2019"	16	37049	Unreliable	Unreliable	16.3	48.2
	"Cullman County, AL"	"01043"	"#Septicemia (A40-A41)"	"GR113-010"	"2010"	"2010"	13	80406	Unreliable	Unreliable	7.3	24.8
