"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Jefferson County, AL"	"01073"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	"2010"	"2010"	18	658466	Unreliable	Unreliable	1.4	3.8
	"Jefferson County, AL"	"01073"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	"2011"	"2011"	16	658931	Unreliable	Unreliable	1.2	3.5
	"Jefferson County, AL"	"01073"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	"2012"	"2012"	18	660009	Unreliable	Unreliable	1.4	3.8
	"Jefferson County, AL"	"01073"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	"2013"	"2013"	26	659479	3.9	3.5	2.3	5.1
	"Jefferson County, AL"	"01073"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	"2014"	"2014"	18	660793	Unreliable	Unreliable	1.4	3.8
	"Jefferson County, AL"	"01073"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	"2015"	"2015"	15	660367	Unreliable	Unreliable	1.0	3.0
	"Jefferson County, AL"	"01073"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	"2016"	"2016"	15	659521	Unreliable	Unreliable	1.1	3.1
	"Jefferson County, AL"	"01073"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	"2017"	"2017"	13	659197	Unreliable	Unreliable	0.9	3.0
	"Jefferson County, AL"	"01073"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	"2018"	"2018"	12	659300	Unreliable	Unreliable	0.8	2.6
	"Jefferson County, AL"	"01073"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	"2019"	"2019"	12	658573	Unreliable	Unreliable	0.7	2.5
	"Montgomery County, AL"	"01101"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	"2016"	"2016"	10	226349	Unreliable	Unreliable	2.0	7.5
	"Cochise County, AZ"	"04003"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	"2015"	"2015"	11	126427	Unreliable	Unreliable	3.1	11.2
	"Maricopa County, AZ"	"04013"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	"2010"	"2010"	104	3817117	2.7	2.8	2.3	3.4
	"Maricopa County, AZ"	"04013"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	"2011"	"2011"	93	3880244	2.4	2.4	1.9	3.0
	"Maricopa County, AZ"	"04013"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	"2012"	"2012"	92	3942169	2.3	2.3	1.8	2.8
