"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Jefferson County, AL"	"01073"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2010"	"2010"	18	658466	Unreliable	Unreliable	1.4	3.8
	"Jefferson County, AL"	"01073"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2011"	"2011"	16	658931	Unreliable	Unreliable	1.2	3.3
	"Jefferson County, AL"	"01073"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2012"	"2012"	18	660009	Unreliable	Unreliable	1.3	3.5
	"Jefferson County, AL"	"01073"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2013"	"2013"	15	659479	Unreliable	Unreliable	1.0	3.1
	"Jefferson County, AL"	"01073"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2014"	"2014"	18	660793	Unreliable	Unreliable	1.2	3.3
	"Jefferson County, AL"	"01073"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2015"	"2015"	17	660367	Unreliable	Unreliable	1.1	3.2
	"Jefferson County, AL"	"01073"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2018"	"2018"	12	659300	Unreliable	Unreliable	0.8	2.7
	"Jefferson County, AL"	"01073"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2010"	"2010"	30	658466	4.6	4.1	2.8	5.9
	"Jefferson County, AL"	"01073"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2011"	"2011"	24	658931	3.6	3.7	2.3	5.5
	"Jefferson County, AL"	"01073"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2012"	"2012"	28	660009	4.2	3.7	2.4	5.3
	"Jefferson County, AL"	"01073"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2013"	"2013"	31	659479	4.7	4.7	3.2	6.7
	"Jefferson County, AL"	"01073"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2014"	"2014"	24	660793	3.6	3.5	2.2	5.3
	"Jefferson County, AL"	"01073"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2015"	"2015"	32	660367	4.8	4.7	3.2	6.7
	"Jefferson County, AL"	"01073"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2016"	"2016"	23	659521	3.5	3.2	2.0	4.9
	"Jefferson County, AL"	"01073"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2017"	"2017"	10	659197	Unreliable	Unreliable	0.7	2.7
	"Jefferson County, AL"	"01073"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2018"	"2018"	19	659300	Unreliable	Unreliable	1.5	4.0
	"Jefferson County, AL"	"01073"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2019"	"2019"	23	658573	3.5	3.6	2.2	5.4
	"Jefferson County, AL"	"01073"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2010"	"2010"	14	658466	Unreliable	Unreliable	1.0	3.4
	"Jefferson County, AL"	"01073"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2011"	"2011"	22	658931	3.3	3.0	1.9	4.5
	"Jefferson County, AL"	"01073"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2012"	"2012"	14	660009	Unreliable	Unreliable	1.1	3.3
	"Jefferson County, AL"	"01073"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2013"	"2013"	21	659479	3.2	3.0	1.8	4.6
	"Jefferson County, AL"	"01073"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2014"	"2014"	19	660793	Unreliable	Unreliable	1.6	4.2
	"Jefferson County, AL"	"01073"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2015"	"2015"	25	660367	3.8	3.4	2.1	5.0
