"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Baldwin County, AL"	"01003"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	"2012"	"2012"	17	190790	Unreliable	Unreliable	4.5	12.9
	"Baldwin County, AL"	"01003"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	"2013"	"2013"	12	195540	Unreliable	Unreliable	3.5	11.8
	"Baldwin County, AL"	"01003"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	"2014"	"2014"	20	200111	10.0	10.1	6.1	15.8
	"Baldwin County, AL"	"01003"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	"2015"	"2015"	12	203709	Unreliable	Unreliable	3.2	10.7
	"Baldwin County, AL"	"01003"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	"2016"	"2016"	18	208563	Unreliable	Unreliable	4.8	13.2
	"Baldwin County, AL"	"01003"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	"2017"	"2017"	12	212628	Unreliable	Unreliable	2.8	9.9
	"Baldwin County, AL"	"01003"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	"2018"	"2018"	25	218022	11.5	12.1	7.7	18.1
	"Baldwin County, AL"	"01003"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	"2019"	"2019"	16	223234	Unreliable	Unreliable	4.9	14.0
	"Calhoun County, AL"	"01015"	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	"GR113-128"	"2011"	"2011"	13	117797	Unreliable	Unreliable	5.7	19.4
	"Calhoun County, AL"	"01015"	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	"GR113-128"	"2015"	"2015"	12	115620	Unreliable	Unreliable	5.3	18.1
