"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Escambia County, AL"	"01053"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	"2013"	"2013"	13	37983	Unreliable	Unreliable	15.3	49.0
	"Escambia County, AL"	"01053"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	"2014"	"2014"	12	37733	Unreliable	Unreliable	15.1	54.0
	"Escambia County, AL"	"01053"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	"2019"	"2019"	11	36633	Unreliable	Unreliable	12.5	48.1
	"Anchorage Borough, AK"	"02020"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	"2018"	"2018"	10	291538	Unreliable	Unreliable	1.6	6.0
	"Maricopa County, AZ"	"04013"	"Discharge of firearms, undetermined intent (Y22-Y24)"	"GR113-132"	"2014"	"2014"	10	4087191	Unreliable	Unreliable	0.1	0.5
	"Maricopa County, AZ"	"04013"	"Discharge of firearms, undetermined intent (Y22-Y24)"	"GR113-132"	"2017"	"2017"	14	4307033	Unreliable	Unreliable	0.2	0.5
	"Maricopa County, AZ"	"04013"	"Discharge of firearms, undetermined intent (Y22-Y24)"	"GR113-132"	"2018"	"2018"	10	4410824	Unreliable	Unreliable	0.1	0.4
	"Maricopa County, AZ"	"04013"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	"2010"	"2010"	83	3817117	2.2	2.2	1.8	2.7
	"Maricopa County, AZ"	"04013"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	"2011"	"2011"	79	3880244	2.0	2.1	1.6	2.6
	"Maricopa County, AZ"	"04013"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	"2012"	"2012"	125	3942169	3.2	3.1	2.6	3.6
