"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Jefferson County, AL"	"01073"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2017"	"2017"	10	659197	Unreliable	Unreliable	0.6	2.4
	"Maricopa County, AZ"	"04013"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2010"	"2010"	31	3817117	0.8	0.9	0.6	1.2
	"Maricopa County, AZ"	"04013"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2011"	"2011"	33	3880244	0.9	0.9	0.6	1.2
	"Maricopa County, AZ"	"04013"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2012"	"2012"	29	3942169	0.7	0.7	0.5	1.0
	"Maricopa County, AZ"	"04013"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2013"	"2013"	23	4009412	0.6	0.6	0.4	0.9
	"Maricopa County, AZ"	"04013"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2014"	"2014"	22	4087191	0.5	0.5	0.3	0.8
	"Maricopa County, AZ"	"04013"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2015"	"2015"	27	4167947	0.6	0.6	0.4	0.9
	"Maricopa County, AZ"	"04013"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2016"	"2016"	22	4242997	0.5	0.5	0.3	0.7
	"Maricopa County, AZ"	"04013"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2017"	"2017"	55	4307033	1.3	1.2	0.9	1.5
	"Maricopa County, AZ"	"04013"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2018"	"2018"	57	4410824	1.3	1.2	0.9	1.5
	"Maricopa County, AZ"	"04013"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2019"	"2019"	50	4485414	1.1	1.0	0.7	1.3
	"Pima County, AZ"	"04019"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2013"	"2013"	13	996554	Unreliable	Unreliable	0.5	1.7
	"Pima County, AZ"	"04019"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2014"	"2014"	10	1004516	Unreliable	Unreliable	0.4	1.4
	"Pima County, AZ"	"04019"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2017"	"2017"	13	1022769	Unreliable	Unreliable	0.5	1.7
	"Pima County, AZ"	"04019"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2018"	"2018"	23	1039073	2.2	1.5	1.0	2.3
	"Pima County, AZ"	"04019"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2019"	"2019"	23	1047279	2.2	1.5	0.9	2.2
	"Pinal County, AZ"	"04021"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2017"	"2017"	10	430237	Unreliable	Unreliable	0.8	3.5
	"Pulaski County, AR"	"05119"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2018"	"2018"	10	392680	Unreliable	Unreliable	1.1	4.2
	"Alameda County, CA"	"06001"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2016"	"2016"	15	1647704	Unreliable	Unreliable	0.5	1.5
	"Alameda County, CA"	"06001"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2017"	"2017"	17	1663190	Unreliable	Unreliable	0.5	1.5
	"Alameda County, CA"	"06001"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2018"	"2018"	13	1666753	Unreliable	Unreliable	0.4	1.2
	"Alameda County, CA"	"06001"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2019"	"2019"	17	1671329	Unreliable	Unreliable	0.5	1.5
	"Contra Costa County, CA"	"06013"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2011"	"2011"	11	1066096	Unreliable	Unreliable	0.5	1.6
	"Contra Costa County, CA"	"06013"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2013"	"2013"	14	1094205	Unreliable	Unreliable	0.7	2.0
	"Contra Costa County, CA"	"06013"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2014"	"2014"	12	1111339	Unreliable	Unreliable	0.5	1.6
	"Contra Costa County, CA"	"06013"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2017"	"2017"	11	1147439	Unreliable	Unreliable	0.4	1.5
	"Fresno County, CA"	"06019"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2017"	"2017"	11	989255	Unreliable	Unreliable	0.6	2.0
	"Fresno County, CA"	"06019"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2018"	"2018"	15	994400	Unreliable	Unreliable	1.0	2.8
	"Fresno County, CA"	"06019"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2019"	"2019"	15	999101	Unreliable	Unreliable	0.9	2.6
	"Kern County, CA"	"06029"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2017"	"2017"	12	893119	Unreliable	Unreliable	0.8	2.8
	"Kern County, CA"	"06029"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2019"	"2019"	10	900202	Unreliable	Unreliable	0.5	2.1
	"Los Angeles County, CA"	"06037"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2010"	"2010"	25	9818605	0.3	0.3	0.2	0.4
	"Los Angeles County, CA"	"06037"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2011"	"2011"	29	9889056	0.3	0.3	0.2	0.5
	"Los Angeles County, CA"	"06037"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	"2012"	"2012"	32	9962789	0.3	0.3	0.2	0.5
