"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Baldwin County, AL"	"01003"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"2015"	"2015"	11	203709	Unreliable	Unreliable	1.8	6.6
	"Baldwin County, AL"	"01003"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"2016"	"2016"	12	208563	Unreliable	Unreliable	2.0	7.2
	"Baldwin County, AL"	"01003"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"2018"	"2018"	12	218022	Unreliable	Unreliable	2.2	7.8
	"Baldwin County, AL"	"01003"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2010"	"2010"	15	182265	Unreliable	Unreliable	3.1	9.2
	"Baldwin County, AL"	"01003"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2012"	"2012"	14	190790	Unreliable	Unreliable	3.2	9.7
	"Baldwin County, AL"	"01003"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2014"	"2014"	16	200111	Unreliable	Unreliable	3.2	9.4
	"Baldwin County, AL"	"01003"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2016"	"2016"	11	208563	Unreliable	Unreliable	2.1	8.0
	"Baldwin County, AL"	"01003"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2017"	"2017"	14	212628	Unreliable	Unreliable	2.5	8.1
	"Baldwin County, AL"	"01003"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2018"	"2018"	18	218022	Unreliable	Unreliable	3.3	9.0
	"Baldwin County, AL"	"01003"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2019"	"2019"	29	223234	13.0	7.9	5.3	11.4
	"Baldwin County, AL"	"01003"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"2010"	"2010"	11	182265	Unreliable	Unreliable	2.4	8.7
	"Calhoun County, AL"	"01015"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2012"	"2012"	12	117296	Unreliable	Unreliable	4.2	14.0
	"Calhoun County, AL"	"01015"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2015"	"2015"	13	115620	Unreliable	Unreliable	5.0	16.2
	"Calhoun County, AL"	"01015"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2016"	"2016"	10	114611	Unreliable	Unreliable	3.1	11.9
	"Calhoun County, AL"	"01015"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2018"	"2018"	11	114277	Unreliable	Unreliable	3.4	12.2
	"Etowah County, AL"	"01055"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2012"	"2012"	10	104392	Unreliable	Unreliable	4.2	16.1
	"Houston County, AL"	"01069"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2012"	"2012"	11	103402	Unreliable	Unreliable	4.5	16.0
	"Jefferson County, AL"	"01073"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"2010"	"2010"	21	658466	3.2	2.7	1.7	4.2
	"Jefferson County, AL"	"01073"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"2011"	"2011"	17	658931	Unreliable	Unreliable	1.4	3.8
	"Jefferson County, AL"	"01073"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"2012"	"2012"	16	660009	Unreliable	Unreliable	1.2	3.5
	"Jefferson County, AL"	"01073"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"2013"	"2013"	21	659479	3.2	2.8	1.7	4.3
	"Jefferson County, AL"	"01073"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"2014"	"2014"	18	660793	Unreliable	Unreliable	1.5	4.0
	"Jefferson County, AL"	"01073"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"2015"	"2015"	21	660367	3.2	2.4	1.5	3.8
	"Jefferson County, AL"	"01073"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"2016"	"2016"	23	659521	3.5	2.8	1.7	4.2
	"Jefferson County, AL"	"01073"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"2017"	"2017"	14	659197	Unreliable	Unreliable	0.9	3.0
	"Jefferson County, AL"	"01073"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"2018"	"2018"	21	659300	3.2	2.9	1.7	4.4
	"Jefferson County, AL"	"01073"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"2019"	"2019"	26	658573	3.9	3.1	2.0	4.6
	"Jefferson County, AL"	"01073"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2010"	"2010"	27	658466	4.1	3.6	2.4	5.3
	"Jefferson County, AL"	"01073"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2011"	"2011"	31	658931	4.7	4.1	2.7	5.8
	"Jefferson County, AL"	"01073"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2012"	"2012"	32	660009	4.8	4.4	3.0	6.2
	"Jefferson County, AL"	"01073"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2013"	"2013"	30	659479	4.5	3.9	2.6	5.6
	"Jefferson County, AL"	"01073"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2014"	"2014"	24	660793	3.6	3.1	2.0	4.7
	"Jefferson County, AL"	"01073"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2015"	"2015"	15	660367	Unreliable	Unreliable	1.0	3.2
	"Jefferson County, AL"	"01073"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2016"	"2016"	27	659521	4.1	3.2	2.1	4.7
	"Jefferson County, AL"	"01073"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2017"	"2017"	26	659197	3.9	3.2	2.1	4.8
	"Jefferson County, AL"	"01073"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2018"	"2018"	32	659300	4.9	3.9	2.6	5.5
	"Jefferson County, AL"	"01073"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2019"	"2019"	27	658573	4.1	3.2	2.1	4.7
