"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Baldwin County, AL"	"01003"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2011"	"2011"	10	186717	Unreliable	Unreliable	2.1	8.1
	"Baldwin County, AL"	"01003"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2012"	"2012"	10	190790	Unreliable	Unreliable	2.0	7.6
	"Baldwin County, AL"	"01003"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2013"	"2013"	15	195540	Unreliable	Unreliable	3.2	9.6
	"Baldwin County, AL"	"01003"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2015"	"2015"	13	203709	Unreliable	Unreliable	2.5	7.9
	"Baldwin County, AL"	"01003"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2016"	"2016"	14	208563	Unreliable	Unreliable	2.5	7.8
	"Baldwin County, AL"	"01003"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2017"	"2017"	11	212628	Unreliable	Unreliable	1.9	6.7
	"Baldwin County, AL"	"01003"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2018"	"2018"	13	218022	Unreliable	Unreliable	2.2	7.0
	"Baldwin County, AL"	"01003"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2019"	"2019"	13	223234	Unreliable	Unreliable	2.1	6.8
	"Cullman County, AL"	"01043"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2012"	"2012"	10	80440	Unreliable	Unreliable	4.9	18.6
	"Jefferson County, AL"	"01073"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2010"	"2010"	39	658466	5.9	5.5	3.9	7.5
	"Jefferson County, AL"	"01073"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2011"	"2011"	27	658931	4.1	3.9	2.5	5.6
	"Jefferson County, AL"	"01073"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2012"	"2012"	34	660009	5.2	4.8	3.3	6.7
	"Jefferson County, AL"	"01073"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2013"	"2013"	30	659479	4.5	4.1	2.7	5.8
	"Jefferson County, AL"	"01073"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2014"	"2014"	34	660793	5.1	4.5	3.1	6.3
	"Jefferson County, AL"	"01073"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2015"	"2015"	32	660367	4.8	4.3	3.0	6.2
	"Jefferson County, AL"	"01073"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2016"	"2016"	40	659521	6.1	5.0	3.6	6.8
	"Jefferson County, AL"	"01073"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2017"	"2017"	25	659197	3.8	3.1	2.0	4.7
	"Jefferson County, AL"	"01073"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2018"	"2018"	25	659300	3.8	3.1	2.0	4.6
	"Jefferson County, AL"	"01073"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2019"	"2019"	24	658573	3.6	2.9	1.8	4.3
	"Jefferson County, AL"	"01073"	"#Anemias (D50-D64)"	"GR113-045"	"2010"	"2010"	15	658466	Unreliable	Unreliable	1.3	3.7
	"Jefferson County, AL"	"01073"	"#Anemias (D50-D64)"	"GR113-045"	"2011"	"2011"	18	658931	Unreliable	Unreliable	1.5	4.0
	"Jefferson County, AL"	"01073"	"#Anemias (D50-D64)"	"GR113-045"	"2012"	"2012"	19	660009	Unreliable	Unreliable	1.5	4.0
	"Jefferson County, AL"	"01073"	"#Anemias (D50-D64)"	"GR113-045"	"2013"	"2013"	15	659479	Unreliable	Unreliable	1.2	3.7
	"Jefferson County, AL"	"01073"	"#Anemias (D50-D64)"	"GR113-045"	"2014"	"2014"	12	660793	Unreliable	Unreliable	0.8	2.7
