"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Autauga County, AL"	"01001"	"#Alzheimer disease (G30)"	"GR113-052"	"2010"	"2010"	12	54571	Unreliable	Unreliable	15.7	53.1
	"Autauga County, AL"	"01001"	"#Alzheimer disease (G30)"	"GR113-052"	"2011"	"2011"	14	55267	Unreliable	Unreliable	16.9	51.8
	"Autauga County, AL"	"01001"	"#Alzheimer disease (G30)"	"GR113-052"	"2012"	"2012"	11	55514	Unreliable	Unreliable	11.7	41.8
	"Autauga County, AL"	"01001"	"#Alzheimer disease (G30)"	"GR113-052"	"2014"	"2014"	17	55395	Unreliable	Unreliable	19.7	56.1
	"Autauga County, AL"	"01001"	"#Alzheimer disease (G30)"	"GR113-052"	"2015"	"2015"	22	55347	39.7	46.3	29.0	70.2
	"Autauga County, AL"	"01001"	"#Alzheimer disease (G30)"	"GR113-052"	"2016"	"2016"	20	55416	36.1	38.2	23.3	59.0
	"Autauga County, AL"	"01001"	"#Alzheimer disease (G30)"	"GR113-052"	"2017"	"2017"	24	55504	43.2	42.9	27.5	63.8
	"Autauga County, AL"	"01001"	"#Alzheimer disease (G30)"	"GR113-052"	"2018"	"2018"	35	55601	62.9	58.8	40.9	81.7
	"Autauga County, AL"	"01001"	"#Alzheimer disease (G30)"	"GR113-052"	"2019"	"2019"	31	55869	55.5	48.7	33.1	69.1
	"Baldwin County, AL"	"01003"	"#Parkinson disease (G20-G21)"	"GR113-051"	"2010"	"2010"	24	182265	13.2	11.0	7.0	16.3
	"Baldwin County, AL"	"01003"	"#Parkinson disease (G20-G21)"	"GR113-051"	"2011"	"2011"	21	186717	11.2	9.2	5.7	14.0
	"Baldwin County, AL"	"01003"	"#Parkinson disease (G20-G21)"	"GR113-051"	"2012"	"2012"	17	190790	Unreliable	Unreliable	4.1	11.4
	"Baldwin County, AL"	"01003"	"#Parkinson disease (G20-G21)"	"GR113-051"	"2013"	"2013"	29	195540	14.8	11.5	7.7	16.6
	"Baldwin County, AL"	"01003"	"#Parkinson disease (G20-G21)"	"GR113-051"	"2014"	"2014"	19	200111	Unreliable	Unreliable	4.5	11.7
	"Baldwin County, AL"	"01003"	"#Parkinson disease (G20-G21)"	"GR113-051"	"2015"	"2015"	25	203709	12.3	9.3	6.0	13.8
	"Baldwin County, AL"	"01003"	"#Parkinson disease (G20-G21)"	"GR113-051"	"2016"	"2016"	21	208563	10.1	7.3	4.5	11.1
	"Baldwin County, AL"	"01003"	"#Parkinson disease (G20-G21)"	"GR113-051"	"2017"	"2017"	33	212628	15.5	11.4	7.8	16.0
	"Baldwin County, AL"	"01003"	"#Parkinson disease (G20-G21)"	"GR113-051"	"2018"	"2018"	24	218022	11.0	8.0	5.1	11.9
	"Baldwin County, AL"	"01003"	"#Parkinson disease (G20-G21)"	"GR113-051"	"2019"	"2019"	36	223234	16.1	10.9	7.6	15.2
	"Baldwin County, AL"	"01003"	"#Alzheimer disease (G30)"	"GR113-052"	"2010"	"2010"	45	182265	24.7	20.8	15.2	27.9
	"Baldwin County, AL"	"01003"	"#Alzheimer disease (G30)"	"GR113-052"	"2011"	"2011"	44	186717	23.6	19.2	14.0	25.8
	"Baldwin County, AL"	"01003"	"#Alzheimer disease (G30)"	"GR113-052"	"2012"	"2012"	27	190790	14.2	11.7	7.7	17.0
	"Baldwin County, AL"	"01003"	"#Alzheimer disease (G30)"	"GR113-052"	"2013"	"2013"	40	195540	20.5	16.4	11.7	22.3
	"Baldwin County, AL"	"01003"	"#Alzheimer disease (G30)"	"GR113-052"	"2014"	"2014"	68	200111	34.0	26.9	20.9	34.1
	"Baldwin County, AL"	"01003"	"#Alzheimer disease (G30)"	"GR113-052"	"2015"	"2015"	80	203709	39.3	30.8	24.4	38.3
	"Baldwin County, AL"	"01003"	"#Alzheimer disease (G30)"	"GR113-052"	"2016"	"2016"	63	208563	30.2	22.9	17.6	29.3
	"Baldwin County, AL"	"01003"	"#Alzheimer disease (G30)"	"GR113-052"	"2017"	"2017"	70	212628	32.9	24.9	19.4	31.5
	"Baldwin County, AL"	"01003"	"#Alzheimer disease (G30)"	"GR113-052"	"2018"	"2018"	84	218022	38.5	28.5	22.7	35.4
	"Baldwin County, AL"	"01003"	"#Alzheimer disease (G30)"	"GR113-052"	"2019"	"2019"	70	223234	31.4	22.8	17.7	28.9
	"Barbour County, AL"	"01005"	"#Alzheimer disease (G30)"	"GR113-052"	"2010"	"2010"	12	27457	Unreliable	Unreliable	21.4	72.3
	"Barbour County, AL"	"01005"	"#Alzheimer disease (G30)"	"GR113-052"	"2011"	"2011"	12	27119	Unreliable	Unreliable	22.5	76.1
	"Barbour County, AL"	"01005"	"#Alzheimer disease (G30)"	"GR113-052"	"2012"	"2012"	12	27201	Unreliable	Unreliable	21.6	73.1
	"Barbour County, AL"	"01005"	"#Alzheimer disease (G30)"	"GR113-052"	"2013"	"2013"	12	27076	Unreliable	Unreliable	20.9	70.7
	"Barbour County, AL"	"01005"	"#Alzheimer disease (G30)"	"GR113-052"	"2014"	"2014"	28	26887	104.1	90.7	60.3	131.1
	"Barbour County, AL"	"01005"	"#Alzheimer disease (G30)"	"GR113-052"	"2015"	"2015"	22	26489	83.1	73.3	45.9	110.9
	"Barbour County, AL"	"01005"	"#Alzheimer disease (G30)"	"GR113-052"	"2017"	"2017"	11	25270	Unreliable	Unreliable	17.7	63.5
	"Barbour County, AL"	"01005"	"#Alzheimer disease (G30)"	"GR113-052"	"2018"	"2018"	12	24881	Unreliable	Unreliable	17.9	60.4
	"Barbour County, AL"	"01005"	"#Alzheimer disease (G30)"	"GR113-052"	"2019"	"2019"	13	24686	Unreliable	Unreliable	20.6	66.3
	"Bibb County, AL"	"01007"	"#Alzheimer disease (G30)"	"GR113-052"	"2017"	"2017"	12	22668	Unreliable	Unreliable	26.2	88.7
	"Bibb County, AL"	"01007"	"#Alzheimer disease (G30)"	"GR113-052"	"2019"	"2019"	10	22394	Unreliable	Unreliable	18.7	71.8
