"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Autauga County, AL"	"01001"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	"2012"	"2012"	11	55514	Unreliable	Unreliable	11.1	39.7
	"Autauga County, AL"	"01001"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	"2013"	"2013"	14	55246	Unreliable	Unreliable	17.1	52.3
	"Autauga County, AL"	"01001"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	"2010"	"2010"	17	54571	Unreliable	Unreliable	17.9	50.9
	"Autauga County, AL"	"01001"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	"2011"	"2011"	26	55267	47.0	54.0	34.9	79.7
	"Autauga County, AL"	"01001"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	"2012"	"2012"	29	55514	52.2	55.7	37.0	80.6
	"Autauga County, AL"	"01001"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	"2013"	"2013"	24	55246	43.4	45.4	28.8	68.2
	"Autauga County, AL"	"01001"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	"2014"	"2014"	24	55395	43.3	43.7	27.7	65.5
	"Autauga County, AL"	"01001"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	"2015"	"2015"	29	55347	52.4	49.5	32.9	71.6
	"Autauga County, AL"	"01001"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	"2016"	"2016"	36	55416	65.0	65.0	45.3	90.4
	"Autauga County, AL"	"01001"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	"2017"	"2017"	33	55504	59.5	54.5	37.3	77.0
	"Autauga County, AL"	"01001"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	"2018"	"2018"	31	55601	55.8	50.2	33.9	71.7
	"Autauga County, AL"	"01001"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	"2019"	"2019"	41	55869	73.4	61.7	44.1	84.0
	"Baldwin County, AL"	"01003"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	"2010"	"2010"	27	182265	14.8	11.7	7.7	17.0
	"Baldwin County, AL"	"01003"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	"2011"	"2011"	33	186717	17.7	13.9	9.5	19.7
	"Baldwin County, AL"	"01003"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	"2012"	"2012"	22	190790	11.5	9.1	5.7	13.8
	"Baldwin County, AL"	"01003"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	"2013"	"2013"	15	195540	Unreliable	Unreliable	3.3	10.2
	"Baldwin County, AL"	"01003"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	"2014"	"2014"	15	200111	Unreliable	Unreliable	3.4	10.1
	"Baldwin County, AL"	"01003"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	"2015"	"2015"	16	203709	Unreliable	Unreliable	3.5	9.8
	"Baldwin County, AL"	"01003"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	"2016"	"2016"	21	208563	10.1	7.8	4.8	12.0
	"Baldwin County, AL"	"01003"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	"2017"	"2017"	19	212628	Unreliable	Unreliable	4.0	10.4
	"Baldwin County, AL"	"01003"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	"2018"	"2018"	21	218022	9.6	6.7	4.1	10.2
