"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Autauga County, AL"	"01001"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	"2010"	"2010"	27	54571	49.5	53.7	35.1	78.7
	"Autauga County, AL"	"01001"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	"2011"	"2011"	26	55267	47.0	46.2	29.9	68.2
	"Autauga County, AL"	"01001"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	"2012"	"2012"	11	55514	Unreliable	Unreliable	11.4	40.9
	"Autauga County, AL"	"01001"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	"2013"	"2013"	25	55246	45.3	42.7	27.4	63.6
	"Autauga County, AL"	"01001"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	"2014"	"2014"	44	55395	79.4	79.8	57.5	107.9
	"Autauga County, AL"	"01001"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	"2015"	"2015"	39	55347	70.5	65.7	46.5	90.2
	"Autauga County, AL"	"01001"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	"2016"	"2016"	32	55416	57.7	52.0	35.3	73.8
	"Autauga County, AL"	"01001"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	"2017"	"2017"	60	55504	108.1	93.3	70.9	120.7
	"Autauga County, AL"	"01001"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	"2018"	"2018"	56	55601	100.7	82.6	62.2	107.5
	"Autauga County, AL"	"01001"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	"2019"	"2019"	36	55869	64.4	53.0	36.9	73.7
	"Baldwin County, AL"	"01003"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	"2010"	"2010"	55	182265	30.2	23.2	17.4	30.3
