"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Maricopa County, AZ"	"04013"	"Acute and subacute endocarditis (I33)"	"GR113-065"	"2010"	"2010"	13	3817117	Unreliable	Unreliable	0.2	0.6
	"Maricopa County, AZ"	"04013"	"Acute and subacute endocarditis (I33)"	"GR113-065"	"2011"	"2011"	10	3880244	Unreliable	Unreliable	0.1	0.5
	"Maricopa County, AZ"	"04013"	"Acute and subacute endocarditis (I33)"	"GR113-065"	"2012"	"2012"	15	3942169	Unreliable	Unreliable	0.2	0.6
	"Maricopa County, AZ"	"04013"	"Acute and subacute endocarditis (I33)"	"GR113-065"	"2014"	"2014"	13	4087191	Unreliable	Unreliable	0.2	0.6
	"Maricopa County, AZ"	"04013"	"Acute and subacute endocarditis (I33)"	"GR113-065"	"2016"	"2016"	15	4242997	Unreliable	Unreliable	0.2	0.6
	"Maricopa County, AZ"	"04013"	"Acute and subacute endocarditis (I33)"	"GR113-065"	"2017"	"2017"	12	4307033	Unreliable	Unreliable	0.1	0.5
	"Maricopa County, AZ"	"04013"	"Acute and subacute endocarditis (I33)"	"GR113-065"	"2018"	"2018"	12	4410824	Unreliable	Unreliable	0.1	0.4
	"Maricopa County, AZ"	"04013"	"Acute and subacute endocarditis (I33)"	"GR113-065"	"2019"	"2019"	20	4485414	0.4	0.4	0.2	0.6
	"Maricopa County, AZ"	"04013"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	"2010"	"2010"	10	3817117	Unreliable	Unreliable	0.1	0.5
	"Maricopa County, AZ"	"04013"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	"2011"	"2011"	10	3880244	Unreliable	Unreliable	0.1	0.5
	"Maricopa County, AZ"	"04013"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	"2015"	"2015"	10	4167947	Unreliable	Unreliable	0.1	0.4
	"Maricopa County, AZ"	"04013"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	"2016"	"2016"	11	4242997	Unreliable	Unreliable	0.1	0.5
	"Maricopa County, AZ"	"04013"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	"2017"	"2017"	11	4307033	Unreliable	Unreliable	0.1	0.5
	"Maricopa County, AZ"	"04013"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	"2018"	"2018"	14	4410824	Unreliable	Unreliable	0.2	0.5
	"Maricopa County, AZ"	"04013"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	"2019"	"2019"	14	4485414	Unreliable	Unreliable	0.2	0.5
	"Pima County, AZ"	"04019"	"Acute and subacute endocarditis (I33)"	"GR113-065"	"2015"	"2015"	10	1010025	Unreliable	Unreliable	0.4	1.6
	"Pima County, AZ"	"04019"	"Acute and subacute endocarditis (I33)"	"GR113-065"	"2016"	"2016"	10	1016206	Unreliable	Unreliable	0.4	1.7
	"Pima County, AZ"	"04019"	"Acute and subacute endocarditis (I33)"	"GR113-065"	"2018"	"2018"	10	1039073	Unreliable	Unreliable	0.4	1.6
	"Alameda County, CA"	"06001"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	"2015"	"2015"	10	1638215	Unreliable	Unreliable	0.3	1.2
	"Los Angeles County, CA"	"06037"	"Acute and subacute endocarditis (I33)"	"GR113-065"	"2010"	"2010"	29	9818605	0.3	0.3	0.2	0.5
	"Los Angeles County, CA"	"06037"	"Acute and subacute endocarditis (I33)"	"GR113-065"	"2011"	"2011"	23	9889056	0.2	0.2	0.1	0.3
	"Los Angeles County, CA"	"06037"	"Acute and subacute endocarditis (I33)"	"GR113-065"	"2012"	"2012"	23	9962789	0.2	0.2	0.1	0.3
	"Los Angeles County, CA"	"06037"	"Acute and subacute endocarditis (I33)"	"GR113-065"	"2013"	"2013"	22	10017068	0.2	0.2	0.1	0.3
	"Los Angeles County, CA"	"06037"	"Acute and subacute endocarditis (I33)"	"GR113-065"	"2014"	"2014"	14	10116705	Unreliable	Unreliable	0.1	0.2
	"Los Angeles County, CA"	"06037"	"Acute and subacute endocarditis (I33)"	"GR113-065"	"2015"	"2015"	23	10170292	0.2	0.2	0.1	0.3
	"Los Angeles County, CA"	"06037"	"Acute and subacute endocarditis (I33)"	"GR113-065"	"2016"	"2016"	31	10137915	0.3	0.3	0.2	0.4
	"Los Angeles County, CA"	"06037"	"Acute and subacute endocarditis (I33)"	"GR113-065"	"2017"	"2017"	24	10163507	0.2	0.2	0.1	0.3
	"Los Angeles County, CA"	"06037"	"Acute and subacute endocarditis (I33)"	"GR113-065"	"2018"	"2018"	30	10105518	0.3	0.3	0.2	0.4
