"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Baldwin County, AL"	"01003"	"#Atherosclerosis (I70)"	"GR113-071"	"2010"	"2010"	10	182265	Unreliable	Unreliable	2.3	8.8
	"Baldwin County, AL"	"01003"	"#Atherosclerosis (I70)"	"GR113-071"	"2011"	"2011"	11	186717	Unreliable	Unreliable	2.4	8.6
	"Baldwin County, AL"	"01003"	"#Atherosclerosis (I70)"	"GR113-071"	"2013"	"2013"	12	195540	Unreliable	Unreliable	2.5	8.4
	"Baldwin County, AL"	"01003"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	"2011"	"2011"	13	186717	Unreliable	Unreliable	3.0	9.6
	"Etowah County, AL"	"01055"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	"2010"	"2010"	11	104430	Unreliable	Unreliable	4.1	14.6
	"Houston County, AL"	"01069"	"#Atherosclerosis (I70)"	"GR113-071"	"2010"	"2010"	56	101547	55.1	48.0	36.2	62.5
	"Houston County, AL"	"01069"	"#Atherosclerosis (I70)"	"GR113-071"	"2011"	"2011"	70	102369	68.4	59.7	46.4	75.5
	"Houston County, AL"	"01069"	"#Atherosclerosis (I70)"	"GR113-071"	"2012"	"2012"	52	103402	50.3	42.5	31.7	55.9
	"Houston County, AL"	"01069"	"#Atherosclerosis (I70)"	"GR113-071"	"2013"	"2013"	59	103668	56.9	47.8	36.3	61.7
	"Houston County, AL"	"01069"	"#Atherosclerosis (I70)"	"GR113-071"	"2014"	"2014"	60	104193	57.6	47.7	36.2	61.7
	"Houston County, AL"	"01069"	"#Atherosclerosis (I70)"	"GR113-071"	"2015"	"2015"	63	104173	60.5	48.1	36.9	61.7
	"Houston County, AL"	"01069"	"#Atherosclerosis (I70)"	"GR113-071"	"2016"	"2016"	69	104056	66.3	53.3	41.3	67.7
	"Houston County, AL"	"01069"	"#Atherosclerosis (I70)"	"GR113-071"	"2017"	"2017"	76	104346	72.8	56.3	44.1	70.7
	"Houston County, AL"	"01069"	"#Atherosclerosis (I70)"	"GR113-071"	"2018"	"2018"	76	104722	72.6	56.0	44.0	70.3
	"Houston County, AL"	"01069"	"#Atherosclerosis (I70)"	"GR113-071"	"2019"	"2019"	63	105882	59.5	44.5	34.0	57.1
	"Jefferson County, AL"	"01073"	"#Atherosclerosis (I70)"	"GR113-071"	"2010"	"2010"	15	658466	Unreliable	Unreliable	1.1	3.3
	"Jefferson County, AL"	"01073"	"#Atherosclerosis (I70)"	"GR113-071"	"2011"	"2011"	13	658931	Unreliable	Unreliable	0.9	3.0
	"Jefferson County, AL"	"01073"	"#Atherosclerosis (I70)"	"GR113-071"	"2012"	"2012"	14	660009	Unreliable	Unreliable	1.0	3.2
	"Jefferson County, AL"	"01073"	"#Atherosclerosis (I70)"	"GR113-071"	"2013"	"2013"	13	659479	Unreliable	Unreliable	0.9	2.9
	"Jefferson County, AL"	"01073"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	"2010"	"2010"	27	658466	4.1	3.8	2.5	5.6
	"Jefferson County, AL"	"01073"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	"2011"	"2011"	18	658931	Unreliable	Unreliable	1.5	3.9
	"Jefferson County, AL"	"01073"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	"2012"	"2012"	27	660009	4.1	3.8	2.5	5.6
	"Jefferson County, AL"	"01073"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	"2013"	"2013"	28	659479	4.2	3.6	2.4	5.2
