"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Baldwin County, AL"	"01003"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2010"	"2010"	10	182265	Unreliable	Unreliable	1.9	7.4
	"Baldwin County, AL"	"01003"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2012"	"2012"	11	190790	Unreliable	Unreliable	2.3	8.3
	"Jefferson County, AL"	"01073"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2010"	"2010"	34	658466	5.2	4.6	3.2	6.4
	"Jefferson County, AL"	"01073"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2011"	"2011"	16	658931	Unreliable	Unreliable	1.3	3.7
	"Jefferson County, AL"	"01073"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2012"	"2012"	26	660009	3.9	3.7	2.4	5.4
	"Jefferson County, AL"	"01073"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2013"	"2013"	27	659479	4.1	3.3	2.1	4.7
	"Jefferson County, AL"	"01073"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2014"	"2014"	19	660793	Unreliable	Unreliable	1.4	3.9
	"Jefferson County, AL"	"01073"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2015"	"2015"	24	660367	3.6	3.1	2.0	4.7
	"Jefferson County, AL"	"01073"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2016"	"2016"	22	659521	3.3	2.9	1.8	4.4
	"Jefferson County, AL"	"01073"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2017"	"2017"	15	659197	Unreliable	Unreliable	1.1	3.4
	"Jefferson County, AL"	"01073"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2018"	"2018"	11	659300	Unreliable	Unreliable	0.6	2.3
	"Jefferson County, AL"	"01073"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2019"	"2019"	13	658573	Unreliable	Unreliable	0.8	2.9
	"Jefferson County, AL"	"01073"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2010"	"2010"	12	658466	Unreliable	Unreliable	0.9	3.0
	"Jefferson County, AL"	"01073"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2011"	"2011"	12	658931	Unreliable	Unreliable	0.9	2.9
	"Jefferson County, AL"	"01073"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2012"	"2012"	19	660009	Unreliable	Unreliable	1.5	3.9
	"Jefferson County, AL"	"01073"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2013"	"2013"	22	659479	3.3	3.0	1.9	4.6
	"Jefferson County, AL"	"01073"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2014"	"2014"	19	660793	Unreliable	Unreliable	1.4	3.8
	"Jefferson County, AL"	"01073"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2015"	"2015"	23	660367	3.5	3.0	1.9	4.5
	"Jefferson County, AL"	"01073"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2016"	"2016"	26	659521	3.9	3.6	2.3	5.3
	"Jefferson County, AL"	"01073"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2017"	"2017"	17	659197	Unreliable	Unreliable	1.3	3.6
	"Jefferson County, AL"	"01073"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2018"	"2018"	18	659300	Unreliable	Unreliable	1.4	3.9
	"Jefferson County, AL"	"01073"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2019"	"2019"	15	658573	Unreliable	Unreliable	1.0	2.9
	"Madison County, AL"	"01089"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2013"	"2013"	10	346892	Unreliable	Unreliable	1.3	4.9
	"Madison County, AL"	"01089"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2014"	"2014"	12	350299	Unreliable	Unreliable	1.7	5.7
	"Madison County, AL"	"01089"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2016"	"2016"	16	356967	Unreliable	Unreliable	2.3	6.4
	"Mobile County, AL"	"01097"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2010"	"2010"	16	412992	Unreliable	Unreliable	2.3	6.4
	"Mobile County, AL"	"01097"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2011"	"2011"	14	412577	Unreliable	Unreliable	1.8	5.4
	"Mobile County, AL"	"01097"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2012"	"2012"	11	413936	Unreliable	Unreliable	1.3	4.5
	"Mobile County, AL"	"01097"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2013"	"2013"	15	414079	Unreliable	Unreliable	1.7	5.2
	"Mobile County, AL"	"01097"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2014"	"2014"	12	415123	Unreliable	Unreliable	1.2	4.3
	"Mobile County, AL"	"01097"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2015"	"2015"	12	415395	Unreliable	Unreliable	1.4	4.6
	"Mobile County, AL"	"01097"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2017"	"2017"	13	413955	Unreliable	Unreliable	1.4	4.3
	"Mobile County, AL"	"01097"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2011"	"2011"	15	412577	Unreliable	Unreliable	2.2	6.5
	"Mobile County, AL"	"01097"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2012"	"2012"	10	413936	Unreliable	Unreliable	1.2	4.5
	"Mobile County, AL"	"01097"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2013"	"2013"	16	414079	Unreliable	Unreliable	2.3	6.4
	"Mobile County, AL"	"01097"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2015"	"2015"	10	415395	Unreliable	Unreliable	1.0	4.0
	"Mobile County, AL"	"01097"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2016"	"2016"	16	414836	Unreliable	Unreliable	2.0	5.5
	"Mobile County, AL"	"01097"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2017"	"2017"	14	413955	Unreliable	Unreliable	1.6	5.0
	"Mobile County, AL"	"01097"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2018"	"2018"	17	413757	Unreliable	Unreliable	2.1	6.1
	"Morgan County, AL"	"01103"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2014"	"2014"	10	119607	Unreliable	Unreliable	3.3	12.8
	"Tuscaloosa County, AL"	"01125"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2014"	"2014"	12	202212	Unreliable	Unreliable	3.2	10.8
	"Cochise County, AZ"	"04003"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2019"	"2019"	10	125922	Unreliable	Unreliable	2.4	10.1
	"Maricopa County, AZ"	"04013"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2010"	"2010"	108	3817117	2.8	2.9	2.4	3.5
	"Maricopa County, AZ"	"04013"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2011"	"2011"	101	3880244	2.6	2.6	2.1	3.1
	"Maricopa County, AZ"	"04013"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2012"	"2012"	118	3942169	3.0	2.9	2.4	3.4
	"Maricopa County, AZ"	"04013"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2013"	"2013"	82	4009412	2.0	2.0	1.6	2.4
	"Maricopa County, AZ"	"04013"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2014"	"2014"	113	4087191	2.8	2.6	2.1	3.0
	"Maricopa County, AZ"	"04013"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2015"	"2015"	94	4167947	2.3	2.1	1.7	2.5
	"Maricopa County, AZ"	"04013"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2016"	"2016"	106	4242997	2.5	2.2	1.8	2.7
	"Maricopa County, AZ"	"04013"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2017"	"2017"	106	4307033	2.5	2.2	1.8	2.6
	"Maricopa County, AZ"	"04013"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2018"	"2018"	96	4410824	2.2	1.9	1.6	2.4
	"Maricopa County, AZ"	"04013"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2019"	"2019"	127	4485414	2.8	2.4	2.0	2.9
	"Maricopa County, AZ"	"04013"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2010"	"2010"	58	3817117	1.5	1.5	1.1	2.0
	"Maricopa County, AZ"	"04013"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2011"	"2011"	52	3880244	1.3	1.3	1.0	1.8
	"Maricopa County, AZ"	"04013"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2012"	"2012"	46	3942169	1.2	1.2	0.9	1.6
	"Maricopa County, AZ"	"04013"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2013"	"2013"	57	4009412	1.4	1.4	1.1	1.8
	"Maricopa County, AZ"	"04013"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2014"	"2014"	41	4087191	1.0	0.9	0.7	1.3
	"Maricopa County, AZ"	"04013"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2015"	"2015"	70	4167947	1.7	1.6	1.2	2.0
	"Maricopa County, AZ"	"04013"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2016"	"2016"	61	4242997	1.4	1.4	1.0	1.8
	"Maricopa County, AZ"	"04013"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2017"	"2017"	63	4307033	1.5	1.3	1.0	1.7
	"Maricopa County, AZ"	"04013"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2018"	"2018"	64	4410824	1.5	1.3	1.0	1.7
	"Maricopa County, AZ"	"04013"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	"2019"	"2019"	54	4485414	1.2	1.1	0.8	1.4
	"Mohave County, AZ"	"04015"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2011"	"2011"	10	202351	Unreliable	Unreliable	1.4	5.2
	"Mohave County, AZ"	"04015"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2012"	"2012"	11	203334	Unreliable	Unreliable	1.4	5.2
	"Pima County, AZ"	"04019"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2010"	"2010"	25	980263	2.6	2.1	1.3	3.0
	"Pima County, AZ"	"04019"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2011"	"2011"	40	989569	4.0	3.2	2.3	4.3
	"Pima County, AZ"	"04019"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	"2012"	"2012"	31	992394	3.1	2.5	1.7	3.6
