"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Autauga County, AL"	"01001"	"Pneumonia (J12-J18)"	"GR113-078"	"2012"	"2012"	10	55514	Unreliable	Unreliable	8.8	33.7
	"Autauga County, AL"	"01001"	"Pneumonia (J12-J18)"	"GR113-078"	"2013"	"2013"	13	55246	Unreliable	Unreliable	13.1	44.4
	"Autauga County, AL"	"01001"	"Pneumonia (J12-J18)"	"GR113-078"	"2014"	"2014"	11	55395	Unreliable	Unreliable	10.6	38.0
	"Baldwin County, AL"	"01003"	"Pneumonia (J12-J18)"	"GR113-078"	"2010"	"2010"	19	182265	Unreliable	Unreliable	4.9	13.1
	"Baldwin County, AL"	"01003"	"Pneumonia (J12-J18)"	"GR113-078"	"2011"	"2011"	20	186717	10.7	8.9	5.5	13.8
	"Baldwin County, AL"	"01003"	"Pneumonia (J12-J18)"	"GR113-078"	"2012"	"2012"	23	190790	12.1	10.2	6.4	15.4
	"Baldwin County, AL"	"01003"	"Pneumonia (J12-J18)"	"GR113-078"	"2013"	"2013"	21	195540	10.7	8.7	5.3	13.5
	"Baldwin County, AL"	"01003"	"Pneumonia (J12-J18)"	"GR113-078"	"2014"	"2014"	38	200111	19.0	15.1	10.7	20.9
	"Baldwin County, AL"	"01003"	"Pneumonia (J12-J18)"	"GR113-078"	"2015"	"2015"	37	203709	18.2	13.5	9.5	18.7
	"Baldwin County, AL"	"01003"	"Pneumonia (J12-J18)"	"GR113-078"	"2016"	"2016"	24	208563	11.5	9.0	5.7	13.5
	"Baldwin County, AL"	"01003"	"Pneumonia (J12-J18)"	"GR113-078"	"2017"	"2017"	34	212628	16.0	12.0	8.2	16.8
	"Baldwin County, AL"	"01003"	"Pneumonia (J12-J18)"	"GR113-078"	"2018"	"2018"	30	218022	13.8	10.2	6.8	14.6
	"Baldwin County, AL"	"01003"	"Pneumonia (J12-J18)"	"GR113-078"	"2019"	"2019"	34	223234	15.2	11.3	7.7	15.9
	"Bibb County, AL"	"01007"	"Pneumonia (J12-J18)"	"GR113-078"	"2018"	"2018"	12	22400	Unreliable	Unreliable	20.9	70.8
	"Blount County, AL"	"01009"	"Pneumonia (J12-J18)"	"GR113-078"	"2010"	"2010"	26	57322	45.4	47.0	30.7	68.8
	"Blount County, AL"	"01009"	"Pneumonia (J12-J18)"	"GR113-078"	"2011"	"2011"	19	57677	Unreliable	Unreliable	19.6	50.7
	"Blount County, AL"	"01009"	"Pneumonia (J12-J18)"	"GR113-078"	"2012"	"2012"	14	57826	Unreliable	Unreliable	12.4	38.1
	"Blount County, AL"	"01009"	"Pneumonia (J12-J18)"	"GR113-078"	"2013"	"2013"	21	57872	36.3	31.5	19.3	48.7
	"Blount County, AL"	"01009"	"Pneumonia (J12-J18)"	"GR113-078"	"2014"	"2014"	20	57719	34.7	30.0	18.1	46.8
	"Blount County, AL"	"01009"	"Pneumonia (J12-J18)"	"GR113-078"	"2015"	"2015"	22	57673	38.1	32.1	19.9	49.1
	"Blount County, AL"	"01009"	"Pneumonia (J12-J18)"	"GR113-078"	"2016"	"2016"	25	57704	43.3	34.0	21.8	50.5
	"Blount County, AL"	"01009"	"Pneumonia (J12-J18)"	"GR113-078"	"2017"	"2017"	23	58013	39.6	29.9	18.7	45.3
	"Blount County, AL"	"01009"	"Pneumonia (J12-J18)"	"GR113-078"	"2018"	"2018"	22	57840	38.0	29.8	18.5	45.6
	"Blount County, AL"	"01009"	"Pneumonia (J12-J18)"	"GR113-078"	"2019"	"2019"	17	57826	Unreliable	Unreliable	13.2	36.4
	"Calhoun County, AL"	"01015"	"Pneumonia (J12-J18)"	"GR113-078"	"2010"	"2010"	58	118572	48.9	44.5	33.7	57.7
	"Calhoun County, AL"	"01015"	"Pneumonia (J12-J18)"	"GR113-078"	"2011"	"2011"	31	117797	26.3	24.2	16.3	34.5
	"Calhoun County, AL"	"01015"	"Pneumonia (J12-J18)"	"GR113-078"	"2012"	"2012"	51	117296	43.5	39.0	28.9	51.4
	"Calhoun County, AL"	"01015"	"Pneumonia (J12-J18)"	"GR113-078"	"2013"	"2013"	49	116736	42.0	36.4	26.8	48.2
	"Calhoun County, AL"	"01015"	"Pneumonia (J12-J18)"	"GR113-078"	"2014"	"2014"	41	115916	35.4	31.8	22.8	43.1
	"Calhoun County, AL"	"01015"	"Pneumonia (J12-J18)"	"GR113-078"	"2015"	"2015"	28	115620	24.2	19.7	13.0	28.6
	"Calhoun County, AL"	"01015"	"Pneumonia (J12-J18)"	"GR113-078"	"2016"	"2016"	26	114611	22.7	19.1	12.4	27.9
	"Calhoun County, AL"	"01015"	"Pneumonia (J12-J18)"	"GR113-078"	"2017"	"2017"	41	114728	35.7	29.0	20.7	39.5
	"Calhoun County, AL"	"01015"	"Pneumonia (J12-J18)"	"GR113-078"	"2018"	"2018"	24	114277	21.0	16.4	10.4	24.5
	"Calhoun County, AL"	"01015"	"Pneumonia (J12-J18)"	"GR113-078"	"2019"	"2019"	26	113605	22.9	17.8	11.5	26.2
	"Chambers County, AL"	"01017"	"Pneumonia (J12-J18)"	"GR113-078"	"2012"	"2012"	10	34064	Unreliable	Unreliable	10.8	41.3
	"Chambers County, AL"	"01017"	"Pneumonia (J12-J18)"	"GR113-078"	"2013"	"2013"	13	34162	Unreliable	Unreliable	15.7	53.1
	"Chambers County, AL"	"01017"	"Pneumonia (J12-J18)"	"GR113-078"	"2017"	"2017"	13	33713	Unreliable	Unreliable	15.5	52.5
	"Cherokee County, AL"	"01019"	"Pneumonia (J12-J18)"	"GR113-078"	"2012"	"2012"	10	26021	Unreliable	Unreliable	14.8	61.6
	"Cherokee County, AL"	"01019"	"Pneumonia (J12-J18)"	"GR113-078"	"2014"	"2014"	10	26037	Unreliable	Unreliable	14.9	57.2
	"Cherokee County, AL"	"01019"	"Pneumonia (J12-J18)"	"GR113-078"	"2016"	"2016"	11	25725	Unreliable	Unreliable	14.2	59.1
