"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Autauga County, AL"	"01001"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2015"	"2015"	13	55347	Unreliable	Unreliable	12.0	40.6
	"Autauga County, AL"	"01001"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2016"	"2016"	11	55416	Unreliable	Unreliable	9.2	32.9
	"Autauga County, AL"	"01001"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2017"	"2017"	27	55504	48.6	43.9	28.7	64.3
	"Autauga County, AL"	"01001"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2018"	"2018"	21	55601	37.8	32.1	19.9	49.1
	"Autauga County, AL"	"01001"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2019"	"2019"	13	55869	Unreliable	Unreliable	10.6	33.9
	"Baldwin County, AL"	"01003"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	"2010"	"2010"	14	182265	Unreliable	Unreliable	3.5	10.7
	"Baldwin County, AL"	"01003"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	"2011"	"2011"	14	186717	Unreliable	Unreliable	3.4	10.4
	"Baldwin County, AL"	"01003"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	"2012"	"2012"	11	190790	Unreliable	Unreliable	2.4	8.6
	"Baldwin County, AL"	"01003"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	"2013"	"2013"	11	195540	Unreliable	Unreliable	2.4	8.7
	"Baldwin County, AL"	"01003"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	"2014"	"2014"	12	200111	Unreliable	Unreliable	2.5	8.6
	"Baldwin County, AL"	"01003"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	"2015"	"2015"	14	203709	Unreliable	Unreliable	3.1	9.4
	"Baldwin County, AL"	"01003"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	"2016"	"2016"	10	208563	Unreliable	Unreliable	1.6	6.8
	"Baldwin County, AL"	"01003"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	"2017"	"2017"	15	212628	Unreliable	Unreliable	3.0	9.1
	"Baldwin County, AL"	"01003"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	"2018"	"2018"	12	218022	Unreliable	Unreliable	1.9	6.4
	"Baldwin County, AL"	"01003"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2010"	"2010"	26	182265	14.3	11.7	7.6	17.3
	"Baldwin County, AL"	"01003"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2011"	"2011"	36	186717	19.3	15.2	10.6	21.1
	"Baldwin County, AL"	"01003"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2012"	"2012"	32	190790	16.8	14.0	9.5	19.8
	"Baldwin County, AL"	"01003"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2013"	"2013"	34	195540	17.4	13.5	9.3	18.9
	"Baldwin County, AL"	"01003"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2014"	"2014"	23	200111	11.5	8.5	5.3	12.8
	"Baldwin County, AL"	"01003"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2015"	"2015"	34	203709	16.7	12.6	8.6	17.6
	"Baldwin County, AL"	"01003"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2016"	"2016"	32	208563	15.3	11.8	8.0	16.7
	"Baldwin County, AL"	"01003"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2017"	"2017"	34	212628	16.0	11.6	7.9	16.3
	"Baldwin County, AL"	"01003"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2018"	"2018"	51	218022	23.4	16.3	12.1	21.5
	"Baldwin County, AL"	"01003"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2019"	"2019"	52	223234	23.3	16.3	12.1	21.4
	"Blount County, AL"	"01009"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2012"	"2012"	13	57826	Unreliable	Unreliable	11.3	36.2
	"Blount County, AL"	"01009"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2014"	"2014"	13	57719	Unreliable	Unreliable	10.9	35.1
	"Blount County, AL"	"01009"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2016"	"2016"	11	57704	Unreliable	Unreliable	7.3	26.2
	"Blount County, AL"	"01009"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2017"	"2017"	18	58013	Unreliable	Unreliable	14.9	39.8
	"Blount County, AL"	"01009"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2018"	"2018"	18	57840	Unreliable	Unreliable	13.7	36.5
	"Blount County, AL"	"01009"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2019"	"2019"	13	57826	Unreliable	Unreliable	9.3	31.4
	"Calhoun County, AL"	"01015"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	"2010"	"2010"	10	118572	Unreliable	Unreliable	3.7	14.2
	"Calhoun County, AL"	"01015"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	"2013"	"2013"	17	116736	Unreliable	Unreliable	8.0	21.9
	"Calhoun County, AL"	"01015"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2010"	"2010"	41	118572	34.6	31.8	22.7	43.3
	"Calhoun County, AL"	"01015"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2011"	"2011"	24	117797	20.4	18.4	11.8	27.4
	"Calhoun County, AL"	"01015"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	"2012"	"2012"	32	117296	27.3	23.8	16.3	33.6
