"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Jefferson County, AL"	"01073"	"#Peptic ulcer (K25-K28)"	"GR113-090"	"2014"	"2014"	11	660793	Unreliable	Unreliable	0.7	2.7
	"Maricopa County, AZ"	"04013"	"#Peptic ulcer (K25-K28)"	"GR113-090"	"2010"	"2010"	40	3817117	1.0	1.1	0.8	1.4
	"Maricopa County, AZ"	"04013"	"#Peptic ulcer (K25-K28)"	"GR113-090"	"2011"	"2011"	32	3880244	0.8	0.8	0.6	1.2
	"Maricopa County, AZ"	"04013"	"#Peptic ulcer (K25-K28)"	"GR113-090"	"2012"	"2012"	28	3942169	0.7	0.8	0.5	1.1
	"Maricopa County, AZ"	"04013"	"#Peptic ulcer (K25-K28)"	"GR113-090"	"2013"	"2013"	49	4009412	1.2	1.2	0.9	1.5
	"Maricopa County, AZ"	"04013"	"#Peptic ulcer (K25-K28)"	"GR113-090"	"2014"	"2014"	57	4087191	1.4	1.3	1.0	1.7
	"Maricopa County, AZ"	"04013"	"#Peptic ulcer (K25-K28)"	"GR113-090"	"2015"	"2015"	41	4167947	1.0	0.9	0.6	1.2
	"Maricopa County, AZ"	"04013"	"#Peptic ulcer (K25-K28)"	"GR113-090"	"2016"	"2016"	45	4242997	1.1	0.9	0.7	1.2
	"Maricopa County, AZ"	"04013"	"#Peptic ulcer (K25-K28)"	"GR113-090"	"2017"	"2017"	39	4307033	0.9	0.8	0.6	1.1
	"Maricopa County, AZ"	"04013"	"#Peptic ulcer (K25-K28)"	"GR113-090"	"2018"	"2018"	39	4410824	0.9	0.8	0.6	1.1
	"Maricopa County, AZ"	"04013"	"#Peptic ulcer (K25-K28)"	"GR113-090"	"2019"	"2019"	54	4485414	1.2	1.0	0.8	1.3
	"Maricopa County, AZ"	"04013"	"#Hernia (K40-K46)"	"GR113-092"	"2010"	"2010"	17	3817117	Unreliable	Unreliable	0.3	0.7
	"Maricopa County, AZ"	"04013"	"#Hernia (K40-K46)"	"GR113-092"	"2011"	"2011"	23	3880244	0.6	0.6	0.4	0.9
	"Maricopa County, AZ"	"04013"	"#Hernia (K40-K46)"	"GR113-092"	"2012"	"2012"	27	3942169	0.7	0.7	0.4	1.0
	"Maricopa County, AZ"	"04013"	"#Hernia (K40-K46)"	"GR113-092"	"2013"	"2013"	19	4009412	Unreliable	Unreliable	0.3	0.7
	"Maricopa County, AZ"	"04013"	"#Hernia (K40-K46)"	"GR113-092"	"2014"	"2014"	31	4087191	0.8	0.7	0.5	1.0
	"Maricopa County, AZ"	"04013"	"#Hernia (K40-K46)"	"GR113-092"	"2015"	"2015"	26	4167947	0.6	0.6	0.4	0.8
	"Maricopa County, AZ"	"04013"	"#Hernia (K40-K46)"	"GR113-092"	"2016"	"2016"	19	4242997	Unreliable	Unreliable	0.2	0.6
	"Maricopa County, AZ"	"04013"	"#Hernia (K40-K46)"	"GR113-092"	"2017"	"2017"	20	4307033	0.5	0.4	0.2	0.6
	"Maricopa County, AZ"	"04013"	"#Hernia (K40-K46)"	"GR113-092"	"2018"	"2018"	18	4410824	Unreliable	Unreliable	0.2	0.6
	"Maricopa County, AZ"	"04013"	"#Hernia (K40-K46)"	"GR113-092"	"2019"	"2019"	26	4485414	0.6	0.5	0.3	0.7
	"Pima County, AZ"	"04019"	"#Peptic ulcer (K25-K28)"	"GR113-090"	"2010"	"2010"	13	980263	Unreliable	Unreliable	0.6	1.9
	"Pima County, AZ"	"04019"	"#Peptic ulcer (K25-K28)"	"GR113-090"	"2011"	"2011"	10	989569	Unreliable	Unreliable	0.4	1.5
	"Pima County, AZ"	"04019"	"#Peptic ulcer (K25-K28)"	"GR113-090"	"2012"	"2012"	15	992394	Unreliable	Unreliable	0.7	2.0
	"Pima County, AZ"	"04019"	"#Peptic ulcer (K25-K28)"	"GR113-090"	"2013"	"2013"	14	996554	Unreliable	Unreliable	0.6	1.9
	"Pima County, AZ"	"04019"	"#Peptic ulcer (K25-K28)"	"GR113-090"	"2014"	"2014"	15	1004516	Unreliable	Unreliable	0.7	2.0
	"Pima County, AZ"	"04019"	"#Peptic ulcer (K25-K28)"	"GR113-090"	"2015"	"2015"	24	1010025	2.4	1.8	1.1	2.7
	"Pima County, AZ"	"04019"	"#Peptic ulcer (K25-K28)"	"GR113-090"	"2016"	"2016"	14	1016206	Unreliable	Unreliable	0.6	1.8
