"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Jefferson County, AL"	"01073"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2014"	"2014"	14	660793	Unreliable	Unreliable	1.0	3.0
	"Jefferson County, AL"	"01073"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2017"	"2017"	10	659197	Unreliable	Unreliable	0.6	2.1
	"Maricopa County, AZ"	"04013"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2010"	"2010"	41	3817117	1.1	1.1	0.8	1.5
	"Maricopa County, AZ"	"04013"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2011"	"2011"	47	3880244	1.2	1.2	0.9	1.6
	"Maricopa County, AZ"	"04013"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2012"	"2012"	49	3942169	1.2	1.2	0.9	1.6
	"Maricopa County, AZ"	"04013"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2013"	"2013"	36	4009412	0.9	0.9	0.6	1.2
	"Maricopa County, AZ"	"04013"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2014"	"2014"	39	4087191	1.0	0.9	0.6	1.2
	"Maricopa County, AZ"	"04013"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2015"	"2015"	37	4167947	0.9	0.8	0.6	1.1
	"Maricopa County, AZ"	"04013"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2016"	"2016"	48	4242997	1.1	1.0	0.7	1.4
	"Maricopa County, AZ"	"04013"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2017"	"2017"	33	4307033	0.8	0.7	0.5	1.0
	"Maricopa County, AZ"	"04013"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2018"	"2018"	35	4410824	0.8	0.7	0.5	1.0
	"Maricopa County, AZ"	"04013"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2019"	"2019"	32	4485414	0.7	0.6	0.4	0.9
	"Pima County, AZ"	"04019"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2011"	"2011"	16	989569	Unreliable	Unreliable	0.7	2.0
	"Pima County, AZ"	"04019"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2012"	"2012"	12	992394	Unreliable	Unreliable	0.5	1.7
	"Pima County, AZ"	"04019"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2014"	"2014"	13	1004516	Unreliable	Unreliable	0.5	1.8
	"Pima County, AZ"	"04019"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2016"	"2016"	20	1016206	2.0	1.5	0.9	2.3
	"Pima County, AZ"	"04019"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2017"	"2017"	16	1022769	Unreliable	Unreliable	0.6	1.9
	"Pima County, AZ"	"04019"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2018"	"2018"	15	1039073	Unreliable	Unreliable	0.6	1.8
	"Pima County, AZ"	"04019"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2019"	"2019"	20	1047279	1.9	1.3	0.8	2.0
	"Alameda County, CA"	"06001"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2010"	"2010"	13	1510271	Unreliable	Unreliable	0.5	1.5
	"Alameda County, CA"	"06001"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2011"	"2011"	24	1529875	1.6	1.5	0.9	2.2
	"Alameda County, CA"	"06001"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2012"	"2012"	21	1554720	1.4	1.4	0.9	2.2
	"Alameda County, CA"	"06001"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2013"	"2013"	22	1578891	1.4	1.3	0.8	1.9
	"Alameda County, CA"	"06001"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2014"	"2014"	13	1610921	Unreliable	Unreliable	0.4	1.4
	"Alameda County, CA"	"06001"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2015"	"2015"	10	1638215	Unreliable	Unreliable	0.3	1.1
	"Alameda County, CA"	"06001"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2016"	"2016"	21	1647704	1.3	1.2	0.7	1.9
	"Alameda County, CA"	"06001"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2017"	"2017"	19	1663190	Unreliable	Unreliable	0.6	1.7
	"Alameda County, CA"	"06001"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2018"	"2018"	18	1666753	Unreliable	Unreliable	0.6	1.7
	"Alameda County, CA"	"06001"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2019"	"2019"	10	1671329	Unreliable	Unreliable	0.3	1.0
	"Contra Costa County, CA"	"06013"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2011"	"2011"	10	1066096	Unreliable	Unreliable	0.4	1.6
	"Contra Costa County, CA"	"06013"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	"2012"	"2012"	16	1079597	Unreliable	Unreliable	0.8	2.2
