"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Autauga County, AL"	"01001"	"Renal failure (N17-N19)"	"GR113-100"	"2012"	"2012"	10	55514	Unreliable	Unreliable	8.8	33.8
	"Autauga County, AL"	"01001"	"Renal failure (N17-N19)"	"GR113-100"	"2017"	"2017"	11	55504	Unreliable	Unreliable	8.4	30.1
	"Autauga County, AL"	"01001"	"Renal failure (N17-N19)"	"GR113-100"	"2019"	"2019"	12	55869	Unreliable	Unreliable	9.5	32.0
	"Baldwin County, AL"	"01003"	"Renal failure (N17-N19)"	"GR113-100"	"2010"	"2010"	30	182265	16.5	13.6	9.1	19.6
	"Baldwin County, AL"	"01003"	"Renal failure (N17-N19)"	"GR113-100"	"2011"	"2011"	22	186717	11.8	9.6	6.0	14.7
	"Baldwin County, AL"	"01003"	"Renal failure (N17-N19)"	"GR113-100"	"2012"	"2012"	26	190790	13.6	10.8	7.0	15.9
	"Baldwin County, AL"	"01003"	"Renal failure (N17-N19)"	"GR113-100"	"2013"	"2013"	34	195540	17.4	13.4	9.2	18.8
	"Baldwin County, AL"	"01003"	"Renal failure (N17-N19)"	"GR113-100"	"2014"	"2014"	36	200111	18.0	14.1	9.8	19.6
	"Baldwin County, AL"	"01003"	"Renal failure (N17-N19)"	"GR113-100"	"2015"	"2015"	34	203709	16.7	12.3	8.5	17.3
	"Baldwin County, AL"	"01003"	"Renal failure (N17-N19)"	"GR113-100"	"2016"	"2016"	47	208563	22.5	16.2	11.8	21.7
	"Baldwin County, AL"	"01003"	"Renal failure (N17-N19)"	"GR113-100"	"2017"	"2017"	35	212628	16.5	11.9	8.2	16.7
	"Baldwin County, AL"	"01003"	"Renal failure (N17-N19)"	"GR113-100"	"2018"	"2018"	33	218022	15.1	10.4	7.1	14.7
	"Baldwin County, AL"	"01003"	"Renal failure (N17-N19)"	"GR113-100"	"2019"	"2019"	37	223234	16.6	12.0	8.4	16.8
	"Barbour County, AL"	"01005"	"Renal failure (N17-N19)"	"GR113-100"	"2016"	"2016"	11	25965	Unreliable	Unreliable	17.3	62.2
	"Barbour County, AL"	"01005"	"Renal failure (N17-N19)"	"GR113-100"	"2019"	"2019"	12	24686	Unreliable	Unreliable	19.6	66.2
	"Blount County, AL"	"01009"	"Renal failure (N17-N19)"	"GR113-100"	"2010"	"2010"	12	57322	Unreliable	Unreliable	9.9	33.3
	"Blount County, AL"	"01009"	"Renal failure (N17-N19)"	"GR113-100"	"2011"	"2011"	11	57677	Unreliable	Unreliable	8.5	30.6
	"Blount County, AL"	"01009"	"Renal failure (N17-N19)"	"GR113-100"	"2014"	"2014"	14	57719	Unreliable	Unreliable	12.3	37.6
	"Blount County, AL"	"01009"	"Renal failure (N17-N19)"	"GR113-100"	"2015"	"2015"	12	57673	Unreliable	Unreliable	8.4	28.5
	"Blount County, AL"	"01009"	"Renal failure (N17-N19)"	"GR113-100"	"2017"	"2017"	13	58013	Unreliable	Unreliable	9.3	29.7
	"Calhoun County, AL"	"01015"	"Renal failure (N17-N19)"	"GR113-100"	"2010"	"2010"	21	118572	17.7	15.6	9.7	23.9
	"Calhoun County, AL"	"01015"	"Renal failure (N17-N19)"	"GR113-100"	"2011"	"2011"	31	117797	26.3	23.7	16.1	33.6
	"Calhoun County, AL"	"01015"	"Renal failure (N17-N19)"	"GR113-100"	"2012"	"2012"	35	117296	29.8	27.2	18.9	38.0
	"Calhoun County, AL"	"01015"	"Renal failure (N17-N19)"	"GR113-100"	"2013"	"2013"	35	116736	30.0	25.5	17.7	35.7
	"Calhoun County, AL"	"01015"	"Renal failure (N17-N19)"	"GR113-100"	"2014"	"2014"	31	115916	26.7	22.2	15.0	31.7
	"Calhoun County, AL"	"01015"	"Renal failure (N17-N19)"	"GR113-100"	"2015"	"2015"	37	115620	32.0	26.7	18.7	36.9
	"Calhoun County, AL"	"01015"	"Renal failure (N17-N19)"	"GR113-100"	"2016"	"2016"	25	114611	21.8	17.3	11.1	25.8
	"Calhoun County, AL"	"01015"	"Renal failure (N17-N19)"	"GR113-100"	"2017"	"2017"	20	114728	17.4	13.0	7.9	20.4
	"Calhoun County, AL"	"01015"	"Renal failure (N17-N19)"	"GR113-100"	"2018"	"2018"	22	114277	19.3	15.3	9.5	23.5
	"Calhoun County, AL"	"01015"	"Renal failure (N17-N19)"	"GR113-100"	"2019"	"2019"	25	113605	22.0	15.3	9.8	22.8
	"Chambers County, AL"	"01017"	"Renal failure (N17-N19)"	"GR113-100"	"2014"	"2014"	11	34076	Unreliable	Unreliable	13.3	50.8
	"Chilton County, AL"	"01021"	"Renal failure (N17-N19)"	"GR113-100"	"2010"	"2010"	12	43643	Unreliable	Unreliable	12.7	42.9
	"Chilton County, AL"	"01021"	"Renal failure (N17-N19)"	"GR113-100"	"2013"	"2013"	10	43951	Unreliable	Unreliable	10.1	38.6
	"Chilton County, AL"	"01021"	"Renal failure (N17-N19)"	"GR113-100"	"2015"	"2015"	13	43943	Unreliable	Unreliable	14.6	47.0
	"Chilton County, AL"	"01021"	"Renal failure (N17-N19)"	"GR113-100"	"2017"	"2017"	10	44067	Unreliable	Unreliable	8.4	32.2
	"Chilton County, AL"	"01021"	"Renal failure (N17-N19)"	"GR113-100"	"2018"	"2018"	16	44153	Unreliable	Unreliable	18.4	54.2
	"Clarke County, AL"	"01025"	"Renal failure (N17-N19)"	"GR113-100"	"2010"	"2010"	10	25833	Unreliable	Unreliable	15.0	57.5
	"Clarke County, AL"	"01025"	"Renal failure (N17-N19)"	"GR113-100"	"2017"	"2017"	12	24083	Unreliable	Unreliable	17.6	59.5
	"Coffee County, AL"	"01031"	"Renal failure (N17-N19)"	"GR113-100"	"2010"	"2010"	19	49948	Unreliable	Unreliable	19.9	51.6
	"Coffee County, AL"	"01031"	"Renal failure (N17-N19)"	"GR113-100"	"2011"	"2011"	16	50526	Unreliable	Unreliable	16.8	47.6
	"Coffee County, AL"	"01031"	"Renal failure (N17-N19)"	"GR113-100"	"2012"	"2012"	17	51252	Unreliable	Unreliable	17.0	46.7
	"Coffee County, AL"	"01031"	"Renal failure (N17-N19)"	"GR113-100"	"2013"	"2013"	10	50938	Unreliable	Unreliable	8.1	30.9
	"Coffee County, AL"	"01031"	"Renal failure (N17-N19)"	"GR113-100"	"2017"	"2017"	10	51874	Unreliable	Unreliable	8.6	33.1
	"Coffee County, AL"	"01031"	"Renal failure (N17-N19)"	"GR113-100"	"2019"	"2019"	13	52342	Unreliable	Unreliable	11.1	35.6
	"Colbert County, AL"	"01033"	"Renal failure (N17-N19)"	"GR113-100"	"2010"	"2010"	16	54428	Unreliable	Unreliable	12.6	35.9
	"Colbert County, AL"	"01033"	"Renal failure (N17-N19)"	"GR113-100"	"2011"	"2011"	19	54512	Unreliable	Unreliable	15.2	40.4
	"Colbert County, AL"	"01033"	"Renal failure (N17-N19)"	"GR113-100"	"2012"	"2012"	16	54446	Unreliable	Unreliable	12.7	37.3
	"Colbert County, AL"	"01033"	"Renal failure (N17-N19)"	"GR113-100"	"2013"	"2013"	21	54520	38.5	27.9	17.3	42.6
	"Colbert County, AL"	"01033"	"Renal failure (N17-N19)"	"GR113-100"	"2014"	"2014"	14	54543	Unreliable	Unreliable	10.6	33.9
	"Colbert County, AL"	"01033"	"Renal failure (N17-N19)"	"GR113-100"	"2015"	"2015"	11	54354	Unreliable	Unreliable	7.9	28.2
	"Colbert County, AL"	"01033"	"Renal failure (N17-N19)"	"GR113-100"	"2016"	"2016"	15	54216	Unreliable	Unreliable	11.0	32.6
	"Colbert County, AL"	"01033"	"Renal failure (N17-N19)"	"GR113-100"	"2017"	"2017"	12	54500	Unreliable	Unreliable	8.4	28.3
