"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Etowah County, AL"	"01055"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"2011"	"2011"	11	104303	Unreliable	Unreliable	6.2	22.3
	"Houston County, AL"	"01069"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"2012"	"2012"	11	103402	Unreliable	Unreliable	5.6	20.0
	"Jefferson County, AL"	"01073"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"2010"	"2010"	59	658466	9.0	9.1	7.0	11.8
	"Jefferson County, AL"	"01073"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"2011"	"2011"	50	658931	7.6	7.4	5.5	9.7
	"Jefferson County, AL"	"01073"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"2012"	"2012"	60	660009	9.1	8.5	6.5	10.9
	"Jefferson County, AL"	"01073"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"2013"	"2013"	67	659479	10.2	10.6	8.2	13.4
	"Jefferson County, AL"	"01073"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"2014"	"2014"	46	660793	7.0	7.3	5.3	9.7
	"Jefferson County, AL"	"01073"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"2015"	"2015"	55	660367	8.3	8.9	6.7	11.5
	"Jefferson County, AL"	"01073"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"2016"	"2016"	45	659521	6.8	7.1	5.2	9.5
	"Jefferson County, AL"	"01073"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"2017"	"2017"	49	659197	7.4	8.0	5.9	10.6
	"Jefferson County, AL"	"01073"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"2018"	"2018"	34	659300	5.2	5.6	3.9	7.9
	"Jefferson County, AL"	"01073"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"2019"	"2019"	48	658573	7.3	7.9	5.8	10.5
	"Jefferson County, AL"	"01073"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	"2010"	"2010"	25	658466	3.8	3.7	2.4	5.4
	"Jefferson County, AL"	"01073"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	"2011"	"2011"	29	658931	4.4	4.1	2.7	5.9
	"Jefferson County, AL"	"01073"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	"2012"	"2012"	23	660009	3.5	3.2	2.0	4.7
	"Jefferson County, AL"	"01073"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	"2013"	"2013"	27	659479	4.1	4.2	2.8	6.1
	"Jefferson County, AL"	"01073"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	"2014"	"2014"	27	660793	4.1	4.1	2.7	6.0
	"Jefferson County, AL"	"01073"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	"2015"	"2015"	18	660367	Unreliable	Unreliable	1.7	4.5
	"Jefferson County, AL"	"01073"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	"2016"	"2016"	12	659521	Unreliable	Unreliable	0.9	3.1
	"Jefferson County, AL"	"01073"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	"2017"	"2017"	21	659197	3.2	3.2	2.0	4.9
	"Jefferson County, AL"	"01073"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	"2018"	"2018"	22	659300	3.3	3.3	2.1	5.1
	"Jefferson County, AL"	"01073"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	"2019"	"2019"	25	658573	3.8	3.9	2.5	5.8
	"Madison County, AL"	"01089"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"2010"	"2010"	17	334811	Unreliable	Unreliable	3.3	9.2
	"Madison County, AL"	"01089"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"2011"	"2011"	14	340111	Unreliable	Unreliable	2.6	7.9
	"Madison County, AL"	"01089"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"2012"	"2012"	12	343080	Unreliable	Unreliable	2.1	7.0
	"Madison County, AL"	"01089"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"2013"	"2013"	18	346892	Unreliable	Unreliable	3.6	9.6
	"Madison County, AL"	"01089"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"2014"	"2014"	19	350299	Unreliable	Unreliable	3.9	10.2
	"Madison County, AL"	"01089"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"2015"	"2015"	12	353089	Unreliable	Unreliable	2.1	6.9
	"Madison County, AL"	"01089"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"2016"	"2016"	11	356967	Unreliable	Unreliable	1.8	6.5
	"Madison County, AL"	"01089"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	"2010"	"2010"	10	334811	Unreliable	Unreliable	1.5	5.9
	"Madison County, AL"	"01089"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	"2015"	"2015"	13	353089	Unreliable	Unreliable	2.1	6.8
	"Madison County, AL"	"01089"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	"2016"	"2016"	16	356967	Unreliable	Unreliable	2.9	8.3
	"Madison County, AL"	"01089"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	"2018"	"2018"	18	366519	Unreliable	Unreliable	3.2	8.7
	"Madison County, AL"	"01089"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	"2019"	"2019"	16	372909	Unreliable	Unreliable	2.8	8.1
	"Marshall County, AL"	"01095"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	"2013"	"2013"	11	94760	Unreliable	Unreliable	5.8	20.9
