"Notes"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"#Salmonella infections (A01-A02)"	"GR113-001"	451	3194909858	0.0	0.0	0.0	0.0
	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	62	3194909858	0.0	0.0	0.0	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	95698	3194909858	3.0	2.6	2.6	2.6
	"#Tuberculosis (A16-A19)"	"GR113-004"	5247	3194909858	0.2	0.1	0.1	0.1
	"Respiratory tuberculosis (A16)"	"GR113-005"	3717	3194909858	0.1	0.1	0.1	0.1
	"Other tuberculosis (A17-A19)"	"GR113-006"	1530	3194909858	0.0	0.0	0.0	0.0
	"#Whooping cough (A37)"	"GR113-007"	122	3194909858	0.0	0.0	0.0	0.0
	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	17	3194909858	Unreliable	Unreliable	0.0	0.0
	"#Meningococcal infection (A39)"	"GR113-009"	511	3194909858	0.0	0.0	0.0	0.0
	"#Septicemia (A40-A41)"	"GR113-010"	384955	3194909858	12.0	10.5	10.4	10.5
	"#Syphilis (A50-A53)"	"GR113-011"	431	3194909858	0.0	0.0	0.0	0.0
	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	55	3194909858	0.0	0.0	0.0	0.0
	"#Viral hepatitis (B15-B19)"	"GR113-015"	68334	3194909858	2.1	1.8	1.8	1.8
	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	65736	3194909858	2.1	1.9	1.9	1.9
	"#Malaria (B50-B54)"	"GR113-017"	71	3194909858	0.0	0.0	0.0	0.0
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	68333	3194909858	2.1	1.9	1.9	1.9
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	5902589	3194909858	184.7	158.9	158.8	159.0
	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	95010	3194909858	3.0	2.5	2.5	2.5
	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	150583	3194909858	4.7	4.0	4.0	4.0
	"Malignant neoplasm of stomach (C16)"	"GR113-022"	112246	3194909858	3.5	3.1	3.0	3.1
	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	527271	3194909858	16.5	14.2	14.2	14.3
	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	248697	3194909858	7.8	6.5	6.5	6.5
	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	411629	3194909858	12.9	11.0	11.0	11.0
	"Malignant neoplasm of larynx (C32)"	"GR113-026"	37498	3194909858	1.2	1.0	1.0	1.0
	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	1515236	3194909858	47.4	40.4	40.4	40.5
	"Malignant melanoma of skin (C43)"	"GR113-028"	87672	3194909858	2.7	2.4	2.4	2.4
	"Malignant neoplasm of breast (C50)"	"GR113-029"	419516	3194909858	13.1	11.4	11.3	11.4
	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	41298	3194909858	1.3	1.2	1.2	1.2
	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	99623	3194909858	3.1	2.6	2.6	2.7
	"Malignant neoplasm of ovary (C56)"	"GR113-032"	141322	3194909858	4.4	3.8	3.8	3.8
	"Malignant neoplasm of prostate (C61)"	"GR113-033"	292635	3194909858	9.2	7.9	7.9	7.9
	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	138524	3194909858	4.3	3.7	3.7	3.7
	"Malignant neoplasm of bladder (C67)"	"GR113-035"	159517	3194909858	5.0	4.3	4.3	4.3
	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	159540	3194909858	5.0	4.4	4.3	4.4
	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	570325	3194909858	17.9	15.6	15.6	15.7
	"Hodgkin disease (C81)"	"GR113-038"	10806	3194909858	0.3	0.3	0.3	0.3
	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	202941	3194909858	6.4	5.5	5.5	5.6
	"Leukemia (C91-C95)"	"GR113-040"	231378	3194909858	7.2	6.4	6.4	6.4
	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	124264	3194909858	3.9	3.4	3.3	3.4
	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	936	3194909858	0.0	0.0	0.0	0.0
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	694447	3194909858	21.7	18.8	18.8	18.8
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	155366	3194909858	4.9	4.3	4.2	4.3
	"#Anemias (D50-D64)"	"GR113-045"	51640	3194909858	1.6	1.4	1.4	1.4
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	784650	3194909858	24.6	21.2	21.2	21.3
	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	57412	3194909858	1.8	1.5	1.5	1.6
	"Malnutrition (E40-E46)"	"GR113-048"	55286	3194909858	1.7	1.5	1.5	1.5
	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	2126	3194909858	0.1	0.1	0.1	0.1
	"#Meningitis (G00,G03)"	"GR113-050"	5838	3194909858	0.2	0.2	0.2	0.2
	"#Parkinson disease (G20-G21)"	"GR113-051"	279079	3194909858	8.7	7.8	7.7	7.8
	"#Alzheimer disease (G30)"	"GR113-052"	1021999	3194909858	32.0	27.5	27.5	27.6
	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	8198106	3194909858	256.6	220.8	220.7	221.0
	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	6250411	3194909858	195.6	168.2	168.0	168.3
	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	33173	3194909858	1.0	0.9	0.9	0.9
	"Hypertensive heart disease (I11)"	"GR113-056"	418060	3194909858	13.1	11.3	11.2	11.3
	"Hypertensive heart and renal disease (I13)"	"GR113-057"	55509	3194909858	1.7	1.5	1.5	1.5
	"Ischemic heart diseases (I20-I25)"	"GR113-058"	3683940	3194909858	115.3	98.8	98.7	98.9
	"Acute myocardial infarction (I21-I22)"	"GR113-059"	1139768	3194909858	35.7	30.6	30.6	30.7
	"Other acute ischemic heart diseases (I24)"	"GR113-060"	41175	3194909858	1.3	1.1	1.1	1.1
	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	2502997	3194909858	78.3	67.1	67.0	67.2
	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	612318	3194909858	19.2	16.3	16.2	16.3
	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	1890679	3194909858	59.2	50.8	50.8	50.9
	"Other heart diseases (I26-I51)"	"GR113-064"	2059729	3194909858	64.5	55.7	55.6	55.7
	"Acute and subacute endocarditis (I33)"	"GR113-065"	13681	3194909858	0.4	0.4	0.4	0.4
	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	8987	3194909858	0.3	0.2	0.2	0.3
	"Heart failure (I50)"	"GR113-067"	714033	3194909858	22.3	19.1	19.1	19.2
	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	1323028	3194909858	41.4	35.9	35.9	36.0
	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	317714	3194909858	9.9	8.5	8.5	8.5
	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	1375698	3194909858	43.1	37.3	37.2	37.3
	"#Atherosclerosis (I70)"	"GR113-071"	60872	3194909858	1.9	1.6	1.6	1.6
	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	193411	3194909858	6.1	5.3	5.2	5.3
	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	99511	3194909858	3.1	2.7	2.7	2.8
	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	93900	3194909858	2.9	2.5	2.5	2.5
	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	45590	3194909858	1.4	1.3	1.3	1.3
	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	539939	3194909858	16.9	14.6	14.6	14.7
	"Influenza (J09-J11)"	"GR113-077"	43177	3194909858	1.4	1.2	1.2	1.2
	"Pneumonia (J12-J18)"	"GR113-078"	496762	3194909858	15.5	13.4	13.4	13.5
	"Other acute lower respiratory infections (J20-J22,U04)"	"GR113-079"	2785	3194909858	0.1	0.1	0.1	0.1
	"#Acute bronchitis and bronchiolitis (J20-J21)"	"GR113-080"	2249	3194909858	0.1	0.1	0.1	0.1
	"Other and unspecified acute lower respiratory infections (J22,U04)"	"GR113-081"	536	3194909858	0.0	0.0	0.0	0.0
	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1507121	3194909858	47.2	40.9	40.8	40.9
	"Bronchitis, chronic and unspecified (J40-J42)"	"GR113-083"	5659	3194909858	0.2	0.2	0.1	0.2
	"Emphysema (J43)"	"GR113-084"	79753	3194909858	2.5	2.2	2.1	2.2
	"Asthma (J45-J46)"	"GR113-085"	35223	3194909858	1.1	1.0	1.0	1.0
	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	1386486	3194909858	43.4	37.5	37.5	37.6
	"#Pneumoconioses and chemical effects (J60-J66,J68,U07.0)"	"GR113-087"	7372	3194909858	0.2	0.2	0.2	0.2
	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	188523	3194909858	5.9	5.1	5.1	5.1
	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	375763	3194909858	11.8	10.3	10.2	10.3
	"#Peptic ulcer (K25-K28)"	"GR113-090"	31413	3194909858	1.0	0.9	0.8	0.9
	"#Diseases of appendix (K35-K38)"	"GR113-091"	3877	3194909858	0.1	0.1	0.1	0.1
	"#Hernia (K40-K46)"	"GR113-092"	20469	3194909858	0.6	0.6	0.5	0.6
	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	384931	3194909858	12.0	10.5	10.4	10.5
	"Alcoholic liver disease (K70)"	"GR113-094"	200063	3194909858	6.3	5.5	5.5	5.5
	"Other chronic liver disease and cirrhosis (K73-K74)"	"GR113-095"	184868	3194909858	5.8	4.9	4.9	5.0
	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	35859	3194909858	1.1	1.0	1.0	1.0
	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	490536	3194909858	15.4	13.3	13.3	13.3
	"Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01,N04)"	"GR113-098"	4880	3194909858	0.2	0.1	0.1	0.1
