"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Autauga County, AL"	"01001"	5072	553730	916.0	887.5	862.7	912.3
	"Baldwin County, AL"	"01003"	20271	2021579	1002.7	773.3	762.4	784.2
	"Barbour County, AL"	"01005"	2947	263031	1120.4	931.5	897.3	965.7
	"Bibb County, AL"	"01007"	2489	225984	1101.4	1001.8	961.9	1041.8
	"Blount County, AL"	"01009"	6328	577472	1095.8	928.8	905.5	952.1
	"Bullock County, AL"	"01011"	1195	104939	1138.8	981.5	925.1	1038.0
	"Butler County, AL"	"01013"	2676	201570	1327.6	975.3	937.0	1013.7
	"Calhoun County, AL"	"01015"	14320	1159158	1235.4	1048.5	1031.0	1066.0
	"Chambers County, AL"	"01017"	4460	339004	1315.6	988.0	958.2	1017.7
	"Cherokee County, AL"	"01019"	3424	259976	1317.0	977.1	942.8	1011.3
	"Chilton County, AL"	"01021"	4913	439771	1117.2	991.4	963.2	1019.5
	"Choctaw County, AL"	"01023"	1757	132388	1327.2	939.3	893.3	985.3
	"Clarke County, AL"	"01025"	3000	247533	1212.0	927.2	893.3	961.1
	"Clay County, AL"	"01027"	1832	135191	1355.1	972.8	927.1	1018.5
	"Cleburne County, AL"	"01029"	1879	149452	1257.3	981.2	935.8	1026.6
	"Coffee County, AL"	"01031"	5190	512135	1013.4	869.5	845.6	893.4
	"Colbert County, AL"	"01033"	7177	545522	1315.6	976.6	953.5	999.7
	"Conecuh County, AL"	"01035"	1766	126751	1393.3	980.6	932.8	1028.3
	"Coosa County, AL"	"01037"	1415	108439	1304.9	960.0	907.8	1012.3
	"Covington County, AL"	"01039"	5239	375998	1393.4	975.3	948.0	1002.7
	"Crenshaw County, AL"	"01041"	1789	139206	1285.1	990.9	943.9	1037.9
	"Cullman County, AL"	"01043"	9963	817923	1218.1	1003.6	983.5	1023.7
	"Dale County, AL"	"01045"	5014	496252	1010.4	892.9	867.8	917.9
	"Dallas County, AL"	"01047"	5278	409583	1288.6	1107.8	1077.2	1138.4
	"DeKalb County, AL"	"01049"	7900	712187	1109.3	983.9	961.9	1006.0
	"Elmore County, AL"	"01051"	7615	810013	940.1	919.4	898.3	940.4
	"Escambia County, AL"	"01053"	4720	376469	1253.8	1045.1	1014.9	1075.4
	"Etowah County, AL"	"01055"	13901	1033732	1344.7	1074.6	1056.4	1092.8
	"Fayette County, AL"	"01057"	2369	167697	1412.7	1045.3	1002.0	1088.7
	"Franklin County, AL"	"01059"	3867	316026	1223.6	1060.5	1026.6	1094.3
	"Geneva County, AL"	"01061"	3557	266338	1335.5	994.6	961.0	1028.1
	"Greene County, AL"	"01063"	1079	85714	1258.8	926.5	868.0	985.0
	"Hale County, AL"	"01065"	1879	151368	1241.3	964.8	919.8	1009.7
	"Henry County, AL"	"01067"	2190	172433	1270.1	891.2	852.5	929.8
	"Houston County, AL"	"01069"	10798	1038358	1039.9	874.2	857.5	890.9
	"Jackson County, AL"	"01071"	6996	524981	1332.6	1038.7	1013.7	1063.7
	"Jefferson County, AL"	"01073"	70807	6594636	1073.7	933.6	926.6	940.6
	"Lamar County, AL"	"01075"	1944	140855	1380.1	966.4	922.1	1010.7
	"Lauderdale County, AL"	"01077"	11080	926493	1195.9	902.6	885.4	919.8
	"Lawrence County, AL"	"01079"	4065	334647	1214.7	1033.3	1000.7	1065.9
	"Lee County, AL"	"01081"	10353	1542231	671.3	826.1	809.8	842.4
	"Limestone County, AL"	"01083"	7599	909344	835.7	807.5	789.0	826.0
	"Lowndes County, AL"	"01085"	1369	105178	1301.6	1079.3	1020.5	1138.2
	"Macon County, AL"	"01087"	2412	195612	1233.1	990.7	949.6	1031.8
	"Madison County, AL"	"01089"	29874	3525723	847.3	794.0	784.9	803.1
	"Marengo County, AL"	"01091"	2638	199390	1323.0	982.2	943.6	1020.9
	"Marion County, AL"	"01093"	4156	301842	1376.9	989.6	958.7	1020.6
	"Marshall County, AL"	"01095"	11092	949670	1168.0	1005.7	986.7	1024.7
	"Mobile County, AL"	"01097"	42978	4139860	1038.2	937.1	928.1	946.1
	"Monroe County, AL"	"01099"	2678	218943	1223.1	936.6	900.0	973.2
	"Montgomery County, AL"	"01101"	20875	2276155	917.1	864.8	853.0	876.7
	"Morgan County, AL"	"01103"	13023	1195395	1089.4	932.9	916.6	949.1
	"Perry County, AL"	"01105"	1350	97619	1382.9	1081.0	1021.1	1140.8
	"Pickens County, AL"	"01107"	2506	199498	1256.2	960.2	921.8	998.5
	"Pike County, AL"	"01109"	3195	331775	963.0	929.7	896.9	962.6
	"Randolph County, AL"	"01111"	2984	227106	1313.9	981.9	945.6	1018.2
	"Russell County, AL"	"01113"	5855	575151	1018.0	994.2	968.4	1020.0
	"St. Clair County, AL"	"01115"	9002	867727	1037.4	959.3	939.0	979.6
	"Shelby County, AL"	"01117"	13911	2071146	671.7	677.8	666.3	689.2
	"Sumter County, AL"	"01119"	1571	131143	1197.9	967.3	916.8	1017.7
	"Talladega County, AL"	"01121"	9804	808971	1211.9	1034.0	1013.1	1054.9
	"Tallapoosa County, AL"	"01123"	5305	409891	1294.2	969.6	942.7	996.6
	"Tuscaloosa County, AL"	"01125"	17062	2029651	840.6	892.6	879.1	906.2
	"Walker County, AL"	"01127"	10058	652925	1540.5	1248.8	1223.7	1273.9
	"Washington County, AL"	"01129"	2045	168540	1213.4	1008.3	963.5	1053.1
	"Wilcox County, AL"	"01131"	1498	110752	1352.6	1094.4	1037.0	1151.8
	"Winston County, AL"	"01133"	3143	239908	1310.1	959.9	925.3	994.6
	"Aleutians East Borough, AK"	"02013"	69	32785	210.5	279.0	207.8	366.9
	"Aleutians West Census Area, AK"	"02016"	139	56342	246.7	518.2	394.2	642.2
	"Anchorage Borough, AK"	"02020"	16272	2958747	550.0	712.0	700.4	723.6
	"Bethel Census Area, AK"	"02050"	1114	178393	624.5	1044.2	973.9	1114.4
	"Bristol Bay Borough, AK"	"02060"	78	9305	838.3	849.7	645.2	1098.4
	"Denali Borough, AK"	"02068"	94	19446	483.4	767.2	567.6	1014.3
	"Dillingham Census Area, AK"	"02070"	366	49653	737.1	1033.2	919.4	1147.0
	"Fairbanks North Star Borough, AK"	"02090"	4594	992597	462.8	684.3	662.7	705.9
	"Haines Borough, AK"	"02100"	171	25332	675.0	553.0	464.8	641.3
	"Hoonah-Angoon Census Area, AK"	"02105"	99	12737	777.3	620.3	494.1	768.9
	"Juneau Borough, AK"	"02110"	1808	322466	560.7	657.7	625.5	690.0
	"Kenai Peninsula Borough, AK"	"02122"	4176	575640	725.5	710.3	687.5	733.0
	"Ketchikan Gateway Borough, AK"	"02130"	953	137495	693.1	699.2	653.2	745.3
	"Kodiak Island Borough, AK"	"02150"	628	137236	457.6	662.0	604.3	719.6
	"Lake and Peninsula Borough, AK"	"02164"	123	16156	761.3	987.4	798.7	1176.1
	"Matanuska-Susitna Borough, AK"	"02170"	5636	995859	565.9	739.2	718.2	760.1
