"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Autauga County, AL"	"01001"	"Intentional self-harm (suicide) by discharge of firearms (X72-X74)"	"GR113-125"	"2010"	"2010"	10	54571	Unreliable	Unreliable	8.4	32.2
	"Autauga County, AL"	"01001"	"Intentional self-harm (suicide) by discharge of firearms (X72-X74)"	"GR113-125"	"2013"	"2013"	10	55246	Unreliable	Unreliable	8.3	32.0
	"Autauga County, AL"	"01001"	"Intentional self-harm (suicide) by discharge of firearms (X72-X74)"	"GR113-125"	"2016"	"2016"	11	55416	Unreliable	Unreliable	9.1	32.5
	"Baldwin County, AL"	"01003"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	"2010"	"2010"	11	182265	Unreliable	Unreliable	2.6	9.2
	"Baldwin County, AL"	"01003"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	"2011"	"2011"	16	186717	Unreliable	Unreliable	3.8	11.3
	"Baldwin County, AL"	"01003"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	"2012"	"2012"	17	190790	Unreliable	Unreliable	4.8	13.5
	"Baldwin County, AL"	"01003"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	"2013"	"2013"	12	195540	Unreliable	Unreliable	2.6	9.3
	"Baldwin County, AL"	"01003"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	"2014"	"2014"	13	200111	Unreliable	Unreliable	2.9	9.3
	"Baldwin County, AL"	"01003"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	"2015"	"2015"	11	203709	Unreliable	Unreliable	2.2	8.3
	"Baldwin County, AL"	"01003"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	"2016"	"2016"	17	208563	Unreliable	Unreliable	3.5	9.9
	"Baldwin County, AL"	"01003"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	"2017"	"2017"	13	212628	Unreliable	Unreliable	2.5	8.3
	"Baldwin County, AL"	"01003"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	"2018"	"2018"	17	218022	Unreliable	Unreliable	3.5	10.0
	"Baldwin County, AL"	"01003"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	"2019"	"2019"	18	223234	Unreliable	Unreliable	3.8	10.5
