"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Jefferson County, AL"	"01073"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	"2011"	"2011"	10	658931	Unreliable	Unreliable	0.7	2.7
	"Jefferson County, AL"	"01073"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	"2013"	"2013"	10	659479	Unreliable	Unreliable	0.7	2.6
	"Jefferson County, AL"	"01073"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	"2019"	"2019"	11	658573	Unreliable	Unreliable	0.8	3.0
	"Mobile County, AL"	"01097"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	"2010"	"2010"	11	412992	Unreliable	Unreliable	1.2	4.5
	"Mobile County, AL"	"01097"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	"2012"	"2012"	14	413936	Unreliable	Unreliable	1.9	5.8
	"Mobile County, AL"	"01097"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	"2013"	"2013"	11	414079	Unreliable	Unreliable	1.3	4.6
	"Mobile County, AL"	"01097"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	"2015"	"2015"	13	415395	Unreliable	Unreliable	1.5	5.0
	"Mobile County, AL"	"01097"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	"2019"	"2019"	11	413210	Unreliable	Unreliable	1.2	4.8
	"Maricopa County, AZ"	"04013"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	"2010"	"2010"	57	3817117	1.5	1.5	1.1	1.9
	"Maricopa County, AZ"	"04013"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	"2011"	"2011"	58	3880244	1.5	1.5	1.1	1.9
	"Maricopa County, AZ"	"04013"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	"2012"	"2012"	57	3942169	1.4	1.4	1.1	1.9
	"Maricopa County, AZ"	"04013"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	"2013"	"2013"	41	4009412	1.0	1.0	0.7	1.4
	"Maricopa County, AZ"	"04013"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	"2014"	"2014"	46	4087191	1.1	1.1	0.8	1.5
	"Maricopa County, AZ"	"04013"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	"2015"	"2015"	48	4167947	1.2	1.1	0.8	1.5
