"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Baldwin County, AL"	"01003"	"Falls (W00-W19)"	"GR113-118"	"2010"	"2010"	10	182265	Unreliable	Unreliable	2.2	8.3
	"Baldwin County, AL"	"01003"	"Falls (W00-W19)"	"GR113-118"	"2011"	"2011"	12	186717	Unreliable	Unreliable	2.6	8.9
	"Baldwin County, AL"	"01003"	"Falls (W00-W19)"	"GR113-118"	"2012"	"2012"	13	190790	Unreliable	Unreliable	2.7	9.1
	"Baldwin County, AL"	"01003"	"Falls (W00-W19)"	"GR113-118"	"2013"	"2013"	13	195540	Unreliable	Unreliable	3.0	10.2
	"Baldwin County, AL"	"01003"	"Falls (W00-W19)"	"GR113-118"	"2014"	"2014"	12	200111	Unreliable	Unreliable	2.4	8.1
	"Baldwin County, AL"	"01003"	"Falls (W00-W19)"	"GR113-118"	"2016"	"2016"	11	208563	Unreliable	Unreliable	2.1	7.4
	"Baldwin County, AL"	"01003"	"Falls (W00-W19)"	"GR113-118"	"2017"	"2017"	11	212628	Unreliable	Unreliable	1.9	7.4
	"Baldwin County, AL"	"01003"	"Falls (W00-W19)"	"GR113-118"	"2019"	"2019"	11	223234	Unreliable	Unreliable	1.7	6.0
	"Calhoun County, AL"	"01015"	"Falls (W00-W19)"	"GR113-118"	"2018"	"2018"	11	114277	Unreliable	Unreliable	3.9	13.8
	"Etowah County, AL"	"01055"	"Falls (W00-W19)"	"GR113-118"	"2013"	"2013"	10	103931	Unreliable	Unreliable	3.8	14.6
	"Jefferson County, AL"	"01073"	"Falls (W00-W19)"	"GR113-118"	"2010"	"2010"	29	658466	4.4	4.0	2.7	5.8
	"Jefferson County, AL"	"01073"	"Falls (W00-W19)"	"GR113-118"	"2011"	"2011"	22	658931	3.3	3.0	1.9	4.6
	"Jefferson County, AL"	"01073"	"Falls (W00-W19)"	"GR113-118"	"2012"	"2012"	26	660009	3.9	3.5	2.3	5.2
	"Jefferson County, AL"	"01073"	"Falls (W00-W19)"	"GR113-118"	"2013"	"2013"	23	659479	3.5	2.9	1.8	4.4
	"Jefferson County, AL"	"01073"	"Falls (W00-W19)"	"GR113-118"	"2014"	"2014"	26	660793	3.9	3.3	2.1	4.9
	"Jefferson County, AL"	"01073"	"Falls (W00-W19)"	"GR113-118"	"2015"	"2015"	27	660367	4.1	3.5	2.3	5.1
	"Jefferson County, AL"	"01073"	"Falls (W00-W19)"	"GR113-118"	"2016"	"2016"	35	659521	5.3	4.4	3.0	6.1
	"Jefferson County, AL"	"01073"	"Falls (W00-W19)"	"GR113-118"	"2017"	"2017"	23	659197	3.5	3.1	1.9	4.7
	"Jefferson County, AL"	"01073"	"Falls (W00-W19)"	"GR113-118"	"2018"	"2018"	35	659300	5.3	4.4	3.1	6.2
	"Jefferson County, AL"	"01073"	"Falls (W00-W19)"	"GR113-118"	"2019"	"2019"	33	658573	5.0	4.2	2.9	6.0
	"Lauderdale County, AL"	"01077"	"Falls (W00-W19)"	"GR113-118"	"2015"	"2015"	11	92596	Unreliable	Unreliable	4.1	14.8
	"Lee County, AL"	"01081"	"Falls (W00-W19)"	"GR113-118"	"2014"	"2014"	14	154255	Unreliable	Unreliable	6.6	21.1
	"Lee County, AL"	"01081"	"Falls (W00-W19)"	"GR113-118"	"2015"	"2015"	10	156993	Unreliable	Unreliable	4.1	15.6
	"Lee County, AL"	"01081"	"Falls (W00-W19)"	"GR113-118"	"2017"	"2017"	10	161604	Unreliable	Unreliable	3.7	14.0
	"Lee County, AL"	"01081"	"Falls (W00-W19)"	"GR113-118"	"2018"	"2018"	10	163941	Unreliable	Unreliable	3.5	13.6
	"Lee County, AL"	"01081"	"Falls (W00-W19)"	"GR113-118"	"2019"	"2019"	13	164542	Unreliable	Unreliable	4.5	15.1
	"Madison County, AL"	"01089"	"Falls (W00-W19)"	"GR113-118"	"2010"	"2010"	14	334811	Unreliable	Unreliable	2.6	8.1
	"Madison County, AL"	"01089"	"Falls (W00-W19)"	"GR113-118"	"2011"	"2011"	12	340111	Unreliable	Unreliable	1.9	6.6
	"Madison County, AL"	"01089"	"Falls (W00-W19)"	"GR113-118"	"2012"	"2012"	14	343080	Unreliable	Unreliable	2.2	6.8
