"Notes"	"County"	"County Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Baldwin County, AL"	"01003"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2010"	"2010"	27	182265	14.8	15.3	10.0	22.5
	"Baldwin County, AL"	"01003"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2011"	"2011"	25	186717	13.4	14.0	8.9	20.8
	"Baldwin County, AL"	"01003"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2012"	"2012"	25	190790	13.1	13.4	8.6	19.9
	"Baldwin County, AL"	"01003"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2013"	"2013"	22	195540	11.3	12.6	7.8	19.2
	"Baldwin County, AL"	"01003"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2014"	"2014"	34	200111	17.0	17.9	12.3	25.2
	"Baldwin County, AL"	"01003"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2015"	"2015"	42	203709	20.6	20.7	14.7	28.3
	"Baldwin County, AL"	"01003"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2016"	"2016"	25	208563	12.0	12.0	7.6	18.0
	"Baldwin County, AL"	"01003"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2017"	"2017"	23	212628	10.8	12.3	7.7	18.6
	"Baldwin County, AL"	"01003"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2018"	"2018"	29	218022	13.3	13.5	8.9	19.7
	"Baldwin County, AL"	"01003"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2019"	"2019"	29	223234	13.0	14.5	9.5	21.1
	"Blount County, AL"	"01009"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2011"	"2011"	11	57677	Unreliable	Unreliable	9.6	34.4
	"Blount County, AL"	"01009"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2012"	"2012"	16	57826	Unreliable	Unreliable	17.1	48.6
	"Blount County, AL"	"01009"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2013"	"2013"	11	57872	Unreliable	Unreliable	10.0	35.8
	"Blount County, AL"	"01009"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2014"	"2014"	15	57719	Unreliable	Unreliable	15.6	46.0
	"Blount County, AL"	"01009"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2015"	"2015"	13	57673	Unreliable	Unreliable	12.7	40.8
	"Blount County, AL"	"01009"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2016"	"2016"	14	57704	Unreliable	Unreliable	13.6	43.8
	"Blount County, AL"	"01009"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2017"	"2017"	19	58013	Unreliable	Unreliable	21.9	56.7
	"Blount County, AL"	"01009"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2018"	"2018"	11	57840	Unreliable	Unreliable	8.5	32.7
	"Calhoun County, AL"	"01015"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2010"	"2010"	20	118572	16.9	19.1	11.5	29.9
	"Calhoun County, AL"	"01015"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2011"	"2011"	13	117797	Unreliable	Unreliable	6.0	20.2
	"Calhoun County, AL"	"01015"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2014"	"2014"	21	115916	18.1	18.4	11.4	28.1
	"Calhoun County, AL"	"01015"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2015"	"2015"	20	115620	17.3	18.8	11.5	29.1
	"Calhoun County, AL"	"01015"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2016"	"2016"	15	114611	Unreliable	Unreliable	7.3	22.4
	"Calhoun County, AL"	"01015"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2017"	"2017"	26	114728	22.7	25.4	16.4	37.5
	"Calhoun County, AL"	"01015"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2018"	"2018"	16	114277	Unreliable	Unreliable	7.6	22.4
	"Calhoun County, AL"	"01015"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2019"	"2019"	19	113605	Unreliable	Unreliable	12.0	31.2
	"Chilton County, AL"	"01021"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2010"	"2010"	10	43643	Unreliable	Unreliable	11.2	42.9
	"Colbert County, AL"	"01033"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2019"	"2019"	10	55241	Unreliable	Unreliable	7.8	32.4
	"Cullman County, AL"	"01043"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2011"	"2011"	10	80536	Unreliable	Unreliable	5.7	23.5
	"Cullman County, AL"	"01043"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2012"	"2012"	12	80440	Unreliable	Unreliable	8.4	28.4
	"Cullman County, AL"	"01043"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2013"	"2013"	17	80811	Unreliable	Unreliable	12.5	35.5
	"Cullman County, AL"	"01043"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2014"	"2014"	29	81289	35.7	34.9	23.0	50.8
	"Cullman County, AL"	"01043"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2015"	"2015"	11	82005	Unreliable	Unreliable	7.1	25.5
	"Cullman County, AL"	"01043"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2016"	"2016"	18	82471	Unreliable	Unreliable	13.7	37.8
	"Cullman County, AL"	"01043"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2017"	"2017"	17	82755	Unreliable	Unreliable	13.2	37.6
	"Cullman County, AL"	"01043"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2018"	"2018"	20	83442	24.0	26.6	16.0	41.6
	"Cullman County, AL"	"01043"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2019"	"2019"	12	83768	Unreliable	Unreliable	8.7	29.4
	"DeKalb County, AL"	"01049"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2011"	"2011"	12	71375	Unreliable	Unreliable	9.0	30.3
	"DeKalb County, AL"	"01049"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2012"	"2012"	15	71080	Unreliable	Unreliable	10.9	33.3
	"DeKalb County, AL"	"01049"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2013"	"2013"	20	71013	28.2	28.7	17.3	44.8
	"DeKalb County, AL"	"01049"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2015"	"2015"	18	71130	Unreliable	Unreliable	13.7	37.6
	"DeKalb County, AL"	"01049"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2016"	"2016"	17	70900	Unreliable	Unreliable	15.1	42.9
	"DeKalb County, AL"	"01049"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2017"	"2017"	25	71617	34.9	34.2	21.9	50.9
	"DeKalb County, AL"	"01049"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2018"	"2018"	16	71385	Unreliable	Unreliable	13.1	38.6
	"DeKalb County, AL"	"01049"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2019"	"2019"	13	71513	Unreliable	Unreliable	8.8	29.7
	"Elmore County, AL"	"01051"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2010"	"2010"	10	79303	Unreliable	Unreliable	6.1	23.2
	"Elmore County, AL"	"01051"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2016"	"2016"	10	81799	Unreliable	Unreliable	6.0	23.2
	"Etowah County, AL"	"01055"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2011"	"2011"	17	104303	Unreliable	Unreliable	10.6	29.1
	"Etowah County, AL"	"01055"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2013"	"2013"	21	103931	20.2	19.9	12.2	30.8
	"Etowah County, AL"	"01055"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2014"	"2014"	17	103531	Unreliable	Unreliable	10.1	28.8
	"Etowah County, AL"	"01055"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2015"	"2015"	22	103057	21.3	23.0	14.3	35.2
	"Etowah County, AL"	"01055"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2016"	"2016"	16	102564	Unreliable	Unreliable	8.2	24.1
	"Etowah County, AL"	"01055"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2017"	"2017"	36	102755	35.0	36.5	25.2	50.9
	"Etowah County, AL"	"01055"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2018"	"2018"	26	102501	25.4	25.3	16.2	37.7
	"Etowah County, AL"	"01055"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2019"	"2019"	21	102268	20.5	21.1	12.9	32.6
	"Franklin County, AL"	"01059"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2013"	"2013"	11	31532	Unreliable	Unreliable	17.1	61.4
	"Houston County, AL"	"01069"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2010"	"2010"	15	101547	Unreliable	Unreliable	8.3	24.4
	"Houston County, AL"	"01069"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2011"	"2011"	12	102369	Unreliable	Unreliable	6.5	22.1
	"Houston County, AL"	"01069"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2013"	"2013"	17	103668	Unreliable	Unreliable	8.9	25.2
	"Houston County, AL"	"01069"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2014"	"2014"	14	104193	Unreliable	Unreliable	8.0	24.5
	"Houston County, AL"	"01069"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2015"	"2015"	12	104173	Unreliable	Unreliable	5.5	19.7
	"Houston County, AL"	"01069"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2017"	"2017"	13	104346	Unreliable	Unreliable	6.0	20.1
	"Houston County, AL"	"01069"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2018"	"2018"	17	104722	Unreliable	Unreliable	10.9	29.9
	"Houston County, AL"	"01069"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2019"	"2019"	10	105882	Unreliable	Unreliable	3.8	15.6
	"Jackson County, AL"	"01071"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2012"	"2012"	12	53019	Unreliable	Unreliable	12.0	42.9
	"Jefferson County, AL"	"01073"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	"2010"	"2010"	14	658466	Unreliable	Unreliable	1.2	3.5
	"Jefferson County, AL"	"01073"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	"2011"	"2011"	19	658931	Unreliable	Unreliable	1.5	4.0
	"Jefferson County, AL"	"01073"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	"2012"	"2012"	13	660009	Unreliable	Unreliable	0.9	3.0
	"Jefferson County, AL"	"01073"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	"2013"	"2013"	19	659479	Unreliable	Unreliable	1.7	4.6
	"Jefferson County, AL"	"01073"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	"2014"	"2014"	15	660793	Unreliable	Unreliable	1.0	3.2
	"Jefferson County, AL"	"01073"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	"2015"	"2015"	14	660367	Unreliable	Unreliable	1.0	3.3
	"Jefferson County, AL"	"01073"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	"2016"	"2016"	19	659521	Unreliable	Unreliable	1.6	4.2
	"Jefferson County, AL"	"01073"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	"2018"	"2018"	14	659300	Unreliable	Unreliable	1.2	3.8
	"Jefferson County, AL"	"01073"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	"2019"	"2019"	14	658573	Unreliable	Unreliable	1.0	3.2
	"Jefferson County, AL"	"01073"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2010"	"2010"	61	658466	9.3	9.3	7.1	12.0
	"Jefferson County, AL"	"01073"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2011"	"2011"	80	658931	12.1	12.5	9.9	15.6
	"Jefferson County, AL"	"01073"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2012"	"2012"	73	660009	11.1	11.6	9.1	14.7
	"Jefferson County, AL"	"01073"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2013"	"2013"	94	659479	14.3	14.4	11.6	17.7
	"Jefferson County, AL"	"01073"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2014"	"2014"	174	660793	26.3	26.3	22.3	30.3
	"Jefferson County, AL"	"01073"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2015"	"2015"	161	660367	24.4	25.4	21.4	29.4
	"Jefferson County, AL"	"01073"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2016"	"2016"	198	659521	30.0	30.8	26.4	35.2
	"Jefferson County, AL"	"01073"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2017"	"2017"	205	659197	31.1	32.1	27.6	36.6
	"Jefferson County, AL"	"01073"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2018"	"2018"	184	659300	27.9	29.3	25.0	33.6
	"Jefferson County, AL"	"01073"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	"2019"	"2019"	190	658573	28.9	29.4	25.1	33.7
